Muni_ID,ID,Muni,tot_maize
1601,1111601,Arcos de Valdevez,646
1602,1111602,Caminha,217
1603,1111603,Melgaço,126
1604,1111604,Monção,546
1605,1111605,Paredes de Coura,252
1606,1111606,Ponte da Barca,290
1607,1111607,Ponte de Lima,1752
1608,1111608,Valença,434
1609,1111609,Viana do Castelo,1055
1610,1111610,Vila Nova de Cerveira,160
301,1120301,Amares,482
302,1120302,Barcelos,972
303,1120303,Braga,1218
306,1120306,Esposende,301
310,1120310,Terras de Bouro,271
313,1120313,Vila Verde,1296
307,1130307,Fafe,856
308,1130308,Guimarães,1249
309,1130309,Póvoa de Lanhoso,535
1314,1131314,Santo Tirso,496
1318,1131318,Trofa,176
311,1130311,Vieira do Minho,340
312,1130312,Vila Nova de Famalicão,777
314,1130314,Vizela,173
107,1140107,Espinho,24
1304,1141304,Gondomar,339
1306,1141306,Maia,206
1308,1141308,Matosinhos,86
1312,1141312,Porto,6
1313,1141313,Póvoa de Varzim,108
1315,1141315,Valongo,258
1316,1141316,Vila do Conde,203
1317,1141317,Vila Nova de Gaia,331
1301,1151301,Amarante,1330
1302,1151302,Baião,524
304,1150304,Cabeceiras de Basto,551
106,1150106,Castelo de Paiva,367
305,1150305,Celorico de Basto,929
1804,1151804,Cinfães,651
1303,1151303,Felgueiras,867
1305,1151305,Lousada,651
1307,1151307,Marco de Canaveses,752
1705,1151705,Mondim de Basto,408
1309,1151309,Paços de Ferreira,284
1310,1151310,Paredes,698
1311,1151311,Penafiel,1225
1813,1151813,Resende,256
1709,1151709,Ribeira de Pena,422
104,1160104,Arouca,589
113,1160113,Oliveira de Azeméis,300
109,1160109,Santa Maria da Feira,527
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,379
1701,1171701,Alijó,34
1801,1171801,Armamar,6
403,1170403,Carrazeda de Ansiães,30
404,1170404,Freixo de Espada à Cinta,4
1805,1171805,Lamego,38
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,118
1812,1171812,Penedono,29
1708,1171708,Peso da Régua,4
1710,1171710,Sabrosa,60
1711,1171711,Santa Marta de Penaguião,2
1815,1171815,São João da Pesqueira,29
1818,1171818,Sernancelhe,103
1819,1171819,Tabuaço,32
1820,1171820,Tarouca,45
409,1170409,Torre de Moncorvo,22
410,1170410,Vila Flor,9
914,1170914,Vila Nova de Foz Côa,5
1714,1171714,Vila Real,352
401,1180401,Alfândega da Fé,2
1702,1181702,Boticas,801
402,1180402,Bragança,71
1703,1181703,Chaves,1428
405,1180405,Macedo de Cavaleiros,59
406,1180406,Miranda do Douro,21
407,1180407,Mirandela,33
408,1180408,Mogadouro,32
1706,1181706,Montalegre,1234
1707,1181707,Murça,34
1712,1181712,Valpaços,256
1713,1181713,Vila Pouca de Aguiar,546
411,1180411,Vimioso,2
412,1180412,Vinhais,217
101,1610101,Águeda,669
102,1610102,Albergaria-a-Velha,753
103,1610103,Anadia,400
105,1610105,Aveiro,818
108,1610108,Estarreja,543
110,1610110,Ílhavo,332
111,1610111,Mealhada,241
112,1610112,Murtosa,259
114,1610114,Oliveira do Bairro,341
115,1610115,Ovar,279
117,1610117,Sever do Vouga,263
118,1610118,Vagos,582
602,1620602,Cantanhede,714
603,1620603,Coimbra,2019
604,1620604,Condeixa-a-Nova,265
605,1620605,Figueira da Foz,779
608,1620608,Mira,170
610,1620610,Montemor-o-Velho,2920
613,1620613,Penacova,152
615,1620615,Soure,1228
1004,1631004,Batalha,97
1009,1631009,Leiria,1078
1010,1631010,Marinha Grande,44
1015,1631015,Pombal,921
1016,1631016,Porto de Mós,47
1002,1641002,Alvaiázere,30
