Muni_ID,ID,Muni,furrow,other_grav,aspersion,cannon,pivot,drip
1601,1111601,Arcos de Valdevez,589,0,5,0,0,0
1602,1111602,Caminha,131,0,1,0,0,0
1603,1111603,Melgaço,118,0,5,0,0,0
1604,1111604,Monção,528,0,0,0,0,0
1605,1111605,Paredes de Coura,220,0,2,0,0,0
1606,1111606,Ponte da Barca,279,0,1,0,0,0
1607,1111607,Ponte de Lima,1244,0,59,0,3,0
1608,1111608,Valença,303,0,0,0,0,0
1609,1111609,Viana do Castelo,406,0,55,2,0,0
1610,1111610,Vila Nova de Cerveira,116,0,6,0,0,0
301,1120301,Amares,337,0,84,0,0,0
302,1120302,Barcelos,395,0,393,17,0,0
303,1120303,Braga,702,0,416,5,0,0
306,1120306,Esposende,52,0,72,0,0,0
310,1120310,Terras de Bouro,228,0,6,0,0,0
313,1120313,Vila Verde,960,0,212,0,0,0
307,1130307,Fafe,724,0,20,0,0,0
308,1130308,Guimarães,873,0,232,1,0,0
309,1130309,Póvoa de Lanhoso,432,0,43,0,0,0
1314,1131314,Santo Tirso,268,0,131,10,0,0
1318,1131318,Trofa,18,0,128,2,0,0
311,1130311,Vieira do Minho,249,0,48,0,0,0
312,1130312,Vila Nova de Famalicão,191,0,427,44,0,2
314,1130314,Vizela,134,0,21,0,0,0
107,1140107,Espinho,16,0,5,0,0,0
1304,1141304,Gondomar,251,0,65,0,0,0
1306,1141306,Maia,34,0,160,2,0,0
1308,1141308,Matosinhos,18,0,59,0,0,0
1312,1141312,Porto,2,0,4,0,0,0
1313,1141313,Póvoa de Varzim,1,0,72,1,0,0
1315,1141315,Valongo,171,0,86,0,0,0
1316,1141316,Vila do Conde,2,0,128,32,0,0
1317,1141317,Vila Nova de Gaia,170,0,148,3,0,0
1301,1151301,Amarante,1114,0,11,8,0,0
1302,1151302,Baião,468,0,8,0,0,0
304,1150304,Cabeceiras de Basto,452,0,28,0,0,0
106,1150106,Castelo de Paiva,244,0,67,0,0,0
305,1150305,Celorico de Basto,762,0,20,1,0,0
1804,1151804,Cinfães,612,0,24,0,0,0
1303,1151303,Felgueiras,757,0,44,13,0,0
1305,1151305,Lousada,583,0,61,0,0,0
1307,1151307,Marco de Canaveses,653,0,40,0,0,0
1705,1151705,Mondim de Basto,319,0,8,0,0,0
1309,1151309,Paços de Ferreira,177,0,75,0,0,0
1310,1151310,Paredes,560,0,122,4,0,1
1311,1151311,Penafiel,1138,0,69,1,0,10
1813,1151813,Resende,223,0,27,0,0,0
1709,1151709,Ribeira de Pena,323,0,34,0,0,0
104,1160104,Arouca,470,0,91,0,0,0
113,1160113,Oliveira de Azeméis,173,0,98,1,0,0
109,1160109,Santa Maria da Feira,313,0,140,0,0,0
116,1160116,São João da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,323,0,26,0,0,0
1701,1171701,Alijó,20,0,1,0,0,0
1801,1171801,Armamar,5,0,0,0,0,0
403,1170403,Carrazeda de Ansiães,10,0,10,0,0,0
404,1170404,Freixo de Espada à Cinta,0,0,0,0,0,0
1805,1171805,Lamego,35,0,3,0,0,0
1704,1171704,Mesão Frio,0,0,0,0,0,0
1807,1171807,Moimenta da Beira,93,0,18,0,0,0
1812,1171812,Penedono,19,0,6,0,0,0
1708,1171708,Peso da Régua,0,0,3,0,0,0
1710,1171710,Sabrosa,54,0,4,0,0,0
1711,1171711,Santa Marta de Penaguião,2,0,0,0,0,0
1815,1171815,São João da Pesqueira,5,0,7,0,0,0
1818,1171818,Sernancelhe,41,0,42,8,0,0
1819,1171819,Tabuaço,28,0,2,0,0,0
1820,1171820,Tarouca,42,0,1,0,0,0
409,1170409,Torre de Moncorvo,3,0,2,0,0,0
410,1170410,Vila Flor,1,0,1,0,0,0
914,1170914,Vila Nova de Foz Côa,5,0,0,0,0,0
1714,1171714,Vila Real,302,0,35,0,0,0
401,1180401,Alfândega da Fé,0,0,1,0,0,0
1702,1181702,Boticas,349,0,0,0,0,0
402,1180402,Bragança,6,0,4,0,0,0
1703,1181703,Chaves,944,0,42,0,0,0
405,1180405,Macedo de Cavaleiros,3,0,4,0,0,0
406,1180406,Miranda do Douro,0,0,0,0,0,0
407,1180407,Mirandela,12,0,2,0,0,0
408,1180408,Mogadouro,3,0,0,0,0,0
1706,1181706,Montalegre,386,0,14,0,0,0
1707,1181707,Murça,18,0,1,0,0,0
1712,1181712,Valpaços,146,0,11,0,0,0
1713,1181713,Vila Pouca de Aguiar,344,0,51,0,0,0
411,1180411,Vimioso,0,0,0,0,0,0
412,1180412,Vinhais,20,0,10,0,0,0
101,1610101,Águeda,217,0,241,15,0,0
102,1610102,Albergaria-a-Velha,79,0,329,21,0,0
103,1610103,Anadia,111,0,234,3,0,0
105,1610105,Aveiro,109,0,301,176,0,28
108,1610108,Estarreja,23,0,239,8,0,1
110,1610110,Ílhavo,24,0,93,124,0,5
111,1610111,Mealhada,96,0,115,5,0,0
112,1610112,Murtosa,1,0,168,9,0,25
114,1610114,Oliveira do Bairro,100,0,201,3,0,13
115,1610115,Ovar,57,0,114,0,0,16
117,1610117,Sever do Vouga,223,0,35,0,0,0
118,1610118,Vagos,18,0,395,11,0,8
602,1620602,Cantanhede,81,0,476,0,0,5
603,1620603,Coimbra,1454,0,121,85,130,8
604,1620604,Condeixa-a-Nova,151,0,39,1,49,0
605,1620605,Figueira da Foz,228,0,284,13,94,35
608,1620608,Mira,11,0,88,1,0,2
610,1620610,Montemor-o-Velho,2152,0,438,3,156,15
613,1620613,Penacova,57,0,23,0,0,0
615,1620615,Soure,684,0,309,41,0,8
1004,1631004,Batalha,19,0,27,3,0,0
1009,1631009,Leiria,721,0,195,29,10,6
1010,1631010,Marinha Grande,32,0,10,0,0,0
1015,1631015,Pombal,350,0,357,26,0,12
1016,1631016,Porto de Mós,4,0,3,0,0,0
1002,1641002,Alvaiázere,13,0,12,0,0,0
1003,1641003,Ansião,9,0,26,0,0,0
601,1640601,Arganil,36,0,85,0,0,0
1007,1641007,Castanheira de Pêra,1,0,1,0,0,0
1008,1641008,Figueiró dos Vinhos,11,0,16,0,0,0
606,1640606,Góis,15,0,3,0,0,0
607,1640607,Lousã,19,0,25,0,0,0
609,1640609,Miranda do Corvo,18,0,21,0,0,0
