Muni_ID,ID,Muni,tot_potato
1601,1111601,Arcos de Valdevez,71
1602,1111602,Caminha,16
1603,1111603,Melgaço,23
1604,1111604,Monção,48
1605,1111605,Paredes de Coura,56
1606,1111606,Ponte da Barca,43
1607,1111607,Ponte de Lima,129
1608,1111608,Valença,20
1609,1111609,Viana do Castelo,120
1610,1111610,Vila Nova de Cerveira,10
301,1120301,Amares,4
302,1120302,Barcelos,85
303,1120303,Braga,52
306,1120306,Esposende,44
310,1120310,Terras de Bouro,6
313,1120313,Vila Verde,83
307,1130307,Fafe,71
308,1130308,Guimarães,53
309,1130309,Póvoa de Lanhoso,15
1314,1131314,Santo Tirso,76
1318,1131318,Trofa,33
311,1130311,Vieira do Minho,27
312,1130312,Vila Nova de Famalicão,33
314,1130314,Vizela,1
107,1140107,Espinho,3
1304,1141304,Gondomar,109
1306,1141306,Maia,110
1308,1141308,Matosinhos,40
1312,1141312,Porto,1
1313,1141313,Póvoa de Varzim,28
1315,1141315,Valongo,54
1316,1141316,Vila do Conde,62
1317,1141317,Vila Nova de Gaia,25
1301,1151301,Amarante,32
1302,1151302,Baião,12
304,1150304,Cabeceiras de Basto,29
106,1150106,Castelo de Paiva,7
305,1150305,Celorico de Basto,17
1804,1151804,Cinfães,39
1303,1151303,Felgueiras,43
1305,1151305,Lousada,25
1307,1151307,Marco de Canaveses,14
1705,1151705,Mondim de Basto,1
1309,1151309,Paços de Ferreira,26
1310,1151310,Paredes,96
1311,1151311,Penafiel,43
1813,1151813,Resende,59
1709,1151709,Ribeira de Pena,5
104,1160104,Arouca,19
113,1160113,Oliveira de Azeméis,4
109,1160109,Santa Maria da Feira,39
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,21
1801,1171801,Armamar,44
403,1170403,Carrazeda de Ansiães,129
404,1170404,Freixo de Espada à Cinta,12
1805,1171805,Lamego,46
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,112
1812,1171812,Penedono,54
1708,1171708,Peso da Régua,3
1710,1171710,Sabrosa,23
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,32
1818,1171818,Sernancelhe,165
1819,1171819,Tabuaço,110
1820,1171820,Tarouca,32
409,1170409,Torre de Moncorvo,40
410,1170410,Vila Flor,13
914,1170914,Vila Nova de Foz Côa,2
1714,1171714,Vila Real,176
401,1180401,Alfândega da Fé,3
1702,1181702,Boticas,270
402,1180402,Bragança,304
1703,1181703,Chaves,1256
405,1180405,Macedo de Cavaleiros,60
406,1180406,Miranda do Douro,119
407,1180407,Mirandela,66
408,1180408,Mogadouro,67
1706,1181706,Montalegre,616
1707,1181707,Murça,52
1712,1181712,Valpaços,489
1713,1181713,Vila Pouca de Aguiar,291
411,1180411,Vimioso,105
412,1180412,Vinhais,216
101,1610101,Águeda,63
102,1610102,Albergaria-a-Velha,46
103,1610103,Anadia,231
105,1610105,Aveiro,83
108,1610108,Estarreja,4
110,1610110,Ílhavo,76
111,1610111,Mealhada,54
112,1610112,Murtosa,1
114,1610114,Oliveira do Bairro,134
115,1610115,Ovar,2
117,1610117,Sever do Vouga,12
118,1610118,Vagos,277
602,1620602,Cantanhede,219
603,1620603,Coimbra,103
604,1620604,Condeixa-a-Nova,27
605,1620605,Figueira da Foz,25
608,1620608,Mira,133
610,1620610,Montemor-o-Velho,109
613,1620613,Penacova,52
615,1620615,Soure,21
1004,1631004,Batalha,19
1009,1631009,Leiria,47
1010,1631010,Marinha Grande,2
1015,1631015,Pombal,54
1016,1631016,Porto de Mós,29
1002,1641002,Alvaiázere,2
