"Muni_ID","ID","Muni","maize"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",1626.01
1603,"1111603","Melgaço",157.37
1604,"1111604","Monção",423.5
1605,"1111605","Paredes de Coura",197.54
1606,"1111606","Ponte da Barca",356.79
1607,"1111607","Ponte de Lima",590.08
1608,"1111608","Valença",728.71
1609,"1111609","Viana do Castelo",3003.62
1610,"1111610","Vila Nova de Cerveira",1029.24
301,"1120301","Amares",0
302,"1120302","Barcelos",1130.01
303,"1120303","Braga",2865.96
306,"1120306","Esposende",687.79
310,"1120310","Terras de Bouro",100.79
313,"1120313","Vila Verde",74.85
307,"1130307","Fafe",644.14
308,"1130308","Guimarães",4914.01
309,"1130309","Póvoa de Lanhoso",46.93
1314,"1131314","Santo Tirso",618.22
1318,"1131318","Trofa",173.67
311,"1130311","Vieira do Minho",8.82
312,"1130312","Vila Nova de Famalicão",5508.59
314,"1130314","Vizela",0
107,"1140107","Espinho",43.46
1304,"1141304","Gondomar",636.33
1306,"1141306","Maia",227.39
1308,"1141308","Matosinhos",89.79
1312,"1141312","Porto",9.69
1313,"1141313","Póvoa de Varzim",125.87
1315,"1141315","Valongo",359.58
1316,"1141316","Vila do Conde",187.71
1317,"1141317","Vila Nova de Gaia",612.65
1301,"1151301","Amarante",788.86
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",0
305,"1150305","Celorico de Basto",175.9
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",416.22
1305,"1151305","Lousada",165.5
1307,"1151307","Marco de Canaveses",1393.73
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",1010.81
1310,"1151310","Paredes",945.33
1311,"1151311","Penafiel",0
1813,"1151813","Resende",57.75
1709,"1151709","Ribeira de Pena",2.79
104,"1160104","Arouca",1606.01
113,"1160113","Oliveira de Azeméis",314.4
109,"1160109","Santa Maria da Feira",617.55
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",1119.9
1701,"1171701","Alijó",1.9
1801,"1171801","Armamar",0.6
403,"1170403","Carrazeda de Ansiães",0.18
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",13.61
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",59.32
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",3.38
1710,"1171710","Sabrosa",3.49
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",1.8
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",2.64
1820,"1171820","Tarouca",31.05
409,"1170409","Torre de Moncorvo",5.88
410,"1170410","Vila Flor",0.01
914,"1170914","Vila Nova de Foz Côa",0.88
1714,"1171714","Vila Real",519.74
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",0
402,"1180402","Bragança",11.29
1703,"1181703","Chaves",392.55
405,"1180405","Macedo de Cavaleiros",7.06
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",7.68
408,"1180408","Mogadouro",0
