"Muni_ID","ID","Muni","potato","total"
1601,"1111601","Arcos de Valdevez",737.13,737.13
1602,"1111602","Caminha",166.45,166.45
1603,"1111603","Melgaço",237.78,237.78
1604,"1111604","Monção",499.35,499.35
1605,"1111605","Paredes de Coura",570.68,570.68
1606,"1111606","Ponte da Barca",451.79,451.79
1607,"1111607","Ponte de Lima",1331.6,1331.6
1608,"1111608","Valença",214.01,214.01
1609,"1111609","Viana do Castelo",1236.48,1236.48
1610,"1111610","Vila Nova de Cerveira",95.11,95.11
301,"1120301","Amares",47.56,47.56
302,"1120302","Barcelos",879.8,879.8
303,"1120303","Braga",546.91,546.91
306,"1120306","Esposende",451.79,451.79
310,"1120310","Terras de Bouro",71.34,71.34
313,"1120313","Vila Verde",856.03,856.03
307,"1130307","Fafe",737.13,737.13
308,"1130308","Guimarães",546.91,546.91
309,"1130309","Póvoa de Lanhoso",166.45,166.45
1314,"1131314","Santo Tirso",784.69,784.69
1318,"1131318","Trofa",332.9,332.9
311,"1130311","Vieira do Minho",285.34,285.34
312,"1130312","Vila Nova de Famalicão",332.9,332.9
314,"1130314","Vizela",0,0
107,"1140107","Espinho",23.78,23.78
1304,"1141304","Gondomar",1117.59,1117.59
1306,"1141306","Maia",1141.37,1141.37
1308,"1141308","Matosinhos",404.23,404.23
1312,"1141312","Porto",0,0
1313,"1141313","Póvoa de Varzim",285.34,285.34
1315,"1141315","Valongo",546.91,546.91
1316,"1141316","Vila do Conde",642.02,642.02
1317,"1141317","Vila Nova de Gaia",261.56,261.56
1301,"1151301","Amarante",332.9,332.9
1302,"1151302","Baião",118.89,118.89
304,"1150304","Cabeceiras de Basto",309.12,309.12
106,"1150106","Castelo de Paiva",71.34,71.34
305,"1150305","Celorico de Basto",166.45,166.45
1804,"1151804","Cinfães",404.23,404.23
1303,"1151303","Felgueiras",451.79,451.79
1305,"1151305","Lousada",261.56,261.56
1307,"1151307","Marco de Canaveses",142.67,142.67
1705,"1151705","Mondim de Basto",0,0
1309,"1151309","Paços de Ferreira",261.56,261.56
1310,"1151310","Paredes",998.7,998.7
1311,"1151311","Penafiel",451.79,451.79
1813,"1151813","Resende",618.24,618.24
1709,"1151709","Ribeira de Pena",47.56,47.56
104,"1160104","Arouca",190.23,190.23
113,"1160113","Oliveira de Azeméis",47.56,47.56
109,"1160109","Santa Maria da Feira",404.23,404.23
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",0,0
1701,"1171701","Alijó",205.83,205.83
1801,"1171801","Armamar",434.54,434.54
403,"1170403","Carrazeda de Ansiães",1280.74,1280.74
404,"1170404","Freixo de Espada à Cinta",114.35,114.35
1805,"1171805","Lamego",457.41,457.41
1704,"1171704","Mesão Frio",0,0
1807,"1171807","Moimenta da Beira",1120.64,1120.64
1812,"1171812","Penedono",526.02,526.02
1708,"1171708","Peso da Régua",22.87,22.87
1710,"1171710","Sabrosa",228.7,228.7
1711,"1171711","Santa Marta de Penaguião",0,0
1815,"1171815","São João da Pesqueira",320.18,320.18
1818,"1171818","Sernancelhe",1646.66,1646.66
1819,"1171819","Tabuaço",1097.77,1097.77
1820,"1171820","Tarouca",320.18,320.18
409,"1170409","Torre de Moncorvo",388.8,388.8
410,"1170410","Vila Flor",137.22,137.22
914,"1170914","Vila Nova de Foz Côa",22.87,22.87
1714,"1171714","Vila Real",1738.14,1738.14
401,"1180401","Alfândega da Fé",22.87,22.87
1702,"1181702","Boticas",2675.83,2675.83
402,"1180402","Bragança",3018.88,3018.88
1703,"1181703","Chaves",12464.31,12464.31
405,"1180405","Macedo de Cavaleiros",594.63,594.63
406,"1180406","Miranda do Douro",1189.26,1189.26
407,"1180407","Mirandela",663.24,663.24
408,"1180408","Mogadouro",663.24,663.24
1706,"1181706","Montalegre",6106.37,6106.37
1707,"1181707","Murça",526.02,526.02
