"Muni_ID","ID","Muni","bean","chickpea","other_pulses","total"
1601,"1111601","Arcos de Valdevez",126.56,0,0,126.56
1602,"1111602","Caminha",14.89,0,3.85,18.74
1603,"1111603","Melgaço",18.61,0,0,18.61
1604,"1111604","Monção",74.45,0,3.85,78.3
1605,"1111605","Paredes de Coura",26.06,0,0,26.06
1606,"1111606","Ponte da Barca",70.73,0,3.85,74.58
1607,"1111607","Ponte de Lima",174.95,0,50.04,224.99
1608,"1111608","Valença",11.17,0,3.85,15.02
1609,"1111609","Viana do Castelo",52.11,0,11.55,63.66
1610,"1111610","Vila Nova de Cerveira",18.61,0,0,18.61
301,"1120301","Amares",14.89,0,15.4,30.29
302,"1120302","Barcelos",37.22,0,19.25,56.47
303,"1120303","Braga",11.17,0,3.85,15.02
306,"1120306","Esposende",18.61,0,0,18.61
310,"1120310","Terras de Bouro",44.67,0,3.85,48.52
313,"1120313","Vila Verde",119.12,0,26.95,146.07
307,"1130307","Fafe",141.45,0,0,141.45
308,"1130308","Guimarães",40.95,0,3.85,44.8
309,"1130309","Póvoa de Lanhoso",44.67,0,3.85,48.52
1314,"1131314","Santo Tirso",18.61,0,0,18.61
1318,"1131318","Trofa",3.72,0,0,3.72
311,"1130311","Vieira do Minho",74.45,0,0,74.45
312,"1130312","Vila Nova de Famalicão",7.44,0,26.95,34.39
314,"1130314","Vizela",0,0,3.85,3.85
107,"1140107","Espinho",3.72,0,0,3.72
1304,"1141304","Gondomar",18.61,0,3.85,22.46
1306,"1141306","Maia",3.72,0,0,3.72
1308,"1141308","Matosinhos",0,0,0,0
1312,"1141312","Porto",0,0,0,0
1313,"1141313","Póvoa de Varzim",11.17,0,0,11.17
1315,"1141315","Valongo",3.72,0,0,3.72
1316,"1141316","Vila do Conde",3.72,0,0,3.72
1317,"1141317","Vila Nova de Gaia",26.06,0,11.55,37.61
1301,"1151301","Amarante",297.79,0,3.85,301.64
1302,"1151302","Baião",256.85,0,0,256.85
304,"1150304","Cabeceiras de Basto",44.67,0,3.85,48.52
106,"1150106","Castelo de Paiva",96.78,0,3.85,100.63
305,"1150305","Celorico de Basto",193.56,0,3.85,197.41
1804,"1151804","Cinfães",63.28,0,0,63.28
1303,"1151303","Felgueiras",52.11,0,3.85,55.96
1305,"1151305","Lousada",26.06,0,3.85,29.91
1307,"1151307","Marco de Canaveses",245.68,0,3.85,249.53
1705,"1151705","Mondim de Basto",104.23,0,0,104.23
1309,"1151309","Paços de Ferreira",26.06,0,0,26.06
1310,"1151310","Paredes",29.78,0,3.85,33.63
1311,"1151311","Penafiel",18.61,0,3.85,22.46
1813,"1151813","Resende",22.33,0,0,22.33
1709,"1151709","Ribeira de Pena",33.5,0,0,33.5
104,"1160104","Arouca",18.61,0,0,18.61
113,"1160113","Oliveira de Azeméis",3.72,0,3.85,7.57
109,"1160109","Santa Maria da Feira",52.11,0,3.85,55.96
116,"1160116","São João da Madeira",0,0,0,0
119,"1160119","Vale de Cambra",52.11,0,0,52.11
1701,"1171701","Alijó",11.63,0,0,11.63
1801,"1171801","Armamar",5.82,0,0,5.82
403,"1170403","Carrazeda de Ansiães",11.63,0,6.08,17.71
404,"1170404","Freixo de Espada à Cinta",5.82,0,0,5.82
