Muni_ID,ID,Muni,sludge
1601,1111601,Arcos de Valdevez,0
1602,1111602,Caminha,0.055005792016
1603,1111603,Melgaço,0.00271631451466667
1604,1111604,Monção,0.0131725944933333
1605,1111605,Paredes de Coura,0.0120950249466667
1606,1111606,Ponte da Barca,0.014930926864
1607,1111607,Ponte de Lima,0.00989701141333333
1608,1111608,Valença,0.0299462870746667
1609,1111609,Viana do Castelo,0.0629647336826667
1610,1111610,Vila Nova de Cerveira,0.111887193133333
301,1120301,Amares,0
302,1120302,Barcelos,0.070984111688
303,1120303,Braga,0.128897122088
306,1120306,Esposende,0.115888000256
310,1120310,Terras de Bouro,0.00228779194933333
313,1120313,Vila Verde,0.0022758218
307,1130307,Fafe,0.03105175836
308,1130308,Guimarães,0.19666983504
309,1130309,Póvoa de Lanhoso,0.00346113669066667
1314,1131314,Santo Tirso,0.800973291813333
1318,1131318,Trofa,0
311,1130311,Vieira do Minho,0.000226475834666667
312,1130312,Vila Nova de Famalicão,0.40988066392
314,1130314,Vizela,0
107,1140107,Espinho,3.0483163592
1304,1141304,Gondomar,0.274063029146667
1306,1141306,Maia,0.408583245653333
1308,1141308,Matosinhos,0.309509781653333
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,0
1315,1141315,Valongo,1.78035952882667
1316,1141316,Vila do Conde,0.00077897316
1317,1141317,Vila Nova de Gaia,2.39466440266667
1301,1151301,Amarante,0.012554309936
1302,1151302,Baião,0
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,0.00864208695466667
1804,1151804,Cinfães,0
1303,1151303,Felgueiras,0.0203143019333333
1305,1151305,Lousada,0.0113464676453333
1307,1151307,Marco de Canaveses,0.0625326896506667
1705,1151705,Mondim de Basto,0
1309,1151309,Paços de Ferreira,0.188864117866667
1310,1151310,Paredes,0
1311,1151311,Penafiel,0.08314642672
1813,1151813,Resende,0.005796620032
1709,1151709,Ribeira de Pena,6.73035066666667e-05
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,0.0324814715306667
109,1160109,Santa Maria da Feira,0.000315254968
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,0.00179186087733333
1801,1171801,Armamar,0.00344571318933333
403,1170403,Carrazeda de Ansiães,0.000197245626666667
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,0.00988547421866667
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,0.013375359816
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,0.029852215064
1710,1171710,Sabrosa,0.00151703727466667
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,0.00210869301066667
1818,1171818,Sernancelhe,0
1819,1171819,Tabuaço,0.002827485808
1820,1171820,Tarouca,0.0194553525413333
409,1170409,Torre de Moncorvo,0.00764008069066667
410,1170410,Vila Flor,0
914,1170914,Vila Nova de Foz Côa,0
1714,1171714,Vila Real,0.0248320895013333
401,1180401,Alfândega da Fé,0
1702,1181702,Boticas,0
402,1180402,Bragança,0.00281713450666667
1703,1181703,Chaves,0.00674855001333333
405,1180405,Macedo de Cavaleiros,0.00306337744533333
406,1180406,Miranda do Douro,0
407,1180407,Mirandela,0.00689912897333333
408,1180408,Mogadouro,0
1706,1181706,Montalegre,0.000102550821333333
1707,1181707,Murça,0.002743840344
1712,1181712,Valpaços,0.000937584442666667
1713,1181713,Vila Pouca de Aguiar,0
411,1180411,Vimioso,2.69467333333333e-05
412,1180412,Vinhais,2.62770853333333e-05
101,1610101,Águeda,0
102,1610102,Albergaria-a-Velha,0
103,1610103,Anadia,1.4487984e-05
105,1610105,Aveiro,0.2295568072
108,1610108,Estarreja,0
110,1610110,Ílhavo,0.510774018533333
111,1610111,Mealhada,0
112,1610112,Murtosa,0
114,1610114,Oliveira do Bairro,0.00382974157066667
115,1610115,Ovar,0.00447949663466667
117,1610117,Sever do Vouga,0
118,1610118,Vagos,0
602,1620602,Cantanhede,0
603,1620603,Coimbra,0.140075422853333
604,1620604,Condeixa-a-Nova,0.02604543452
605,1620605,Figueira da Foz,0.0525100670453333
608,1620608,Mira,0
610,1620610,Montemor-o-Velho,0.000132224848
613,1620613,Penacova,0.0214084873146667
615,1620615,Soure,0.003247183184
1004,1631004,Batalha,0
1009,1631009,Leiria,0.13853614656
1010,1631010,Marinha Grande,0
1015,1631015,Pombal,0.0422318871333333
1016,1631016,Porto de Mós,0
1002,1641002,Alvaiázere,0
1003,1641003,Ansião,0.00532748863733333
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,0
606,1640606,Góis,0
607,1640607,Lousã,0.00790004786666667
609,1640609,Miranda do Corvo,0
611,1640611,Oliveira do Hospital,0.00916664681333333
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,0
614,1640614,Penela,0
616,1640616,Tábua,0
617,1640617,Vila Nova de Poiares,0
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,0
1803,1651803,Castro Daire,0
1806,1651806,Mangualde,0
1808,1651808,Mortágua,0
1809,1651809,Nelas,0
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,0.000984543018666667
1816,1651816,São Pedro do Sul,0.018084039456
1817,1651817,Sátão,0
1821,1651821,Tondela,0.00247845402933333
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,0.000542063256
1824,1651824,Vouzela,0
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,0
509,1660509,Sertã,0
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,0
912,1670912,Seia,0
902,1680902,Almeida,0.000140987541333333
903,1680903,Celorico da Beira,0
904,1680904,Figueira de Castelo Rodrigo,4.68048e-06
907,1680907,Guarda,0.008434569752
908,1680908,Manteigas,0
909,1680909,Mêda,0
910,1680910,Pinhel,0.000231042672
911,1680911,Sabugal,0.000145233741333333
913,1680913,Trancoso,0
502,1690502,Castelo Branco,0
505,1690505,Idanha-a-Nova,0
507,1690507,Penamacor,0
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,6.974716e-05
503,16A0503,Covilhã,1.52860026666667e-05
504,16A0504,Fundão,0.00204116865866667
1001,16B1001,Alcobaça,0.0100244327306667
1101,16B1101,Alenquer,0.016830239944
1102,16B1102,Arruda dos Vinhos,0.0100244327306667
1005,16B1005,Bombarral,0.0100244327306667
1104,16B1104,Cadaval,0.0100244327306667
1006,16B1006,Caldas da Rainha,0.0970443058853333
1108,16B1108,Lourinhã,0.0196124901466667
1011,16B1011,Nazaré,0.0503374022106667
1012,16B1012,Óbidos,0.445249667706667
1014,16B1014,Peniche,0.0100244327306667
1112,16B1112,Sobral de Monte Agraço,0.0100244327306667
1113,16B1113,Torres Vedras,0.01890140476
1401,16C1401,Abrantes,0.0171914668426667
1402,16C1402,Alcanena,0.0100244327306667
1408,16C1408,Constância,0.0100244327306667
1410,16C1410,Entroncamento,0.0100244327306667
1411,16C1411,Ferreira do Zêzere,0.0100244327306667
1421,16C1421,Ourém,0.113029976304
1417,16C1417,Sardoal,0.0100244327306667
1418,16C1418,Tomar,0.0548891914106667
1419,16C1419,Torres Novas,0.0100244327306667
1420,16C1420,Vila Nova da Barquinha,0.0100244327306667
1115,1711115,Amadora,0.0100244327306667
1105,1711105,Cascais,0.0204677143813333
1106,1711106,Lisboa,0.0100244327306667
1107,1711107,Loures,0.693060585093333
1109,1711109,Mafra,0.0599398836213333
1116,1711116,Odivelas,0.0100244327306667
1110,1711110,Oeiras,0.764202229093333
1111,1711111,Sintra,0.0120209489493333
1114,1711114,Vila Franca de Xira,0.0324520542453333
1502,1721502,Alcochete,0.0100244327306667
1503,1721503,Almada,3.63622728373333
1504,1721504,Barreiro,0.0100244327306667
1506,1721506,Moita,0.0100244327306667
1507,1721507,Montijo,0.010418028768
1508,1721508,Palmela,0.0101545321173333
1510,1721510,Seixal,0.0539333085573333
1511,1721511,Sesimbra,0.96348736456
1512,1721512,Setúbal,0.0100244327306667
1501,1811501,Alcácer do Sal,0
1505,1811505,Grândola,0.000131193869333333
211,1810211,Odemira,0
1509,1811509,Santiago do Cacém,0
1513,1811513,Sines,0.0205740264426667
1201,1821201,Alter do Chão,0
1202,1821202,Arronches,0.000172908642666667
1203,1821203,Avis,0
1204,1821204,Campo Maior,0
1205,1821205,Castelo de Vide,0.000740831933333333
1206,1821206,Crato,0.000233800672
1207,1821207,Elvas,0.00179505549066667
1208,1821208,Fronteira,0
1209,1821209,Gavião,3.9225368e-05
1210,1821210,Marvão,0.000714132552
1211,1821211,Monforte,0
707,1820707,Mora,0
1212,1821212,Nisa,0.00127988920266667
1213,1821213,Ponte de Sor,0.000125748149333333
1214,1821214,Portalegre,0.01323735168
701,1830701,Alandroal,0
702,1830702,Arraiolos,0
703,1830703,Borba,0
704,1830704,Estremoz,0
705,1830705,Évora,0
706,1830706,Montemor-o-Novo,3.98031386666667e-05
708,1830708,Mourão,0
709,1830709,Portel,0.0458951228213333
710,1830710,Redondo,0
711,1830711,Reguengos de Monsaraz,0
1215,1831215,Sousel,0.000378611296
712,1830712,Vendas Novas,0
713,1830713,Viana do Alentejo,0
714,1830714,Vila Viçosa,1.73996666666667e-05
201,1840201,Aljustrel,0
202,1840202,Almodôvar,0
203,1840203,Alvito,1.9454008e-05
204,1840204,Barrancos,0
205,1840205,Beja,1.3832056e-05
206,1840206,Castro Verde,0.00528260025066667
207,1840207,Cuba,0
208,1840208,Ferreira do Alentejo,0
209,1840209,Mértola,0
210,1840210,Moura,0
212,1840212,Ourique,0
213,1840213,Serpa,0
214,1840214,Vidigueira,7.58370106666667e-05
1403,1851403,Almeirim,0.0104414470346667
1404,1851404,Alpiarça,0.0100244327306667
1103,1851103,Azambuja,0.0114646501573333
1405,1851405,Benavente,0.012826776984
1406,1851406,Cartaxo,0.0100244327306667
1407,1851407,Chamusca,0.0106480333306667
1409,1851409,Coruche,0.01057173236
1412,1851412,Golegã,0.011153036384
1414,1851414,Rio Maior,0.0100244327306667
1415,1851415,Salvaterra de Magos,0.010057626936
1416,1851416,Santarém,0.019342852032
801,1500801,Albufeira,0.2622329668
802,1500802,Alcoutim,0
803,1500803,Aljezur,0.00804685388266667
804,1500804,Castro Marim,0
805,1500805,Faro,0
806,1500806,Lagoa,0.0505172453146667
807,1500807,Lagos,0.0954215838613333
808,1500808,Loulé,0.0664616182346667
809,1500809,Monchique,0
810,1500810,Olhão,0.0346716997946667
811,1500811,Portimão,0
812,1500812,São Brás de Alportel,0
813,1500813,Silves,0.00973335622933333
814,1500814,Tavira,0.0230092274533333
815,1500815,Vila do Bispo,0.00184836549333333
816,1500816,Vila Real de Santo António,0
