Muni_ID,ID,Muni,forage_maize,forage_mixture,forage_oat,forage_roots,forage_sorghum,sum
1601,1111601,Arcos de Valdevez,119.1794184,2.259,1.4963616,0,0,122.93478
1602,1111602,Caminha,0,0,0,0,0,0
1603,1111603,Melgaço,0,0,0,0,0,0
1604,1111604,Monção,321.9075,84.7125,0,0,0,406.62
1605,1111605,Paredes de Coura,0,0,0,0,0,0
1606,1111606,Ponte da Barca,0,0,0,0,0,0
1607,1111607,Ponte de Lima,3697.34252832,16.58318346,1.69587648,0,0,3715.62158826
1608,1111608,Valença,0,0,0,0,0,0
1609,1111609,Viana do Castelo,15180.28102728,164.21601708,0,0,39.73793346,15384.23497782
1610,1111610,Vila Nova de Cerveira,1146.27519846,7.11585,0,0,0,1153.39104846
301,1120301,Amares,0,0,0,0,0,0
302,1120302,Barcelos,171895.562127,187.6517415,0,0,40.004631,172123.2184995
303,1120303,Braga,5475.97227762,57.06566073,10.1004408,0,25.20291753,5568.34129668
306,1120306,Esposende,55548.03507264,0,0,0,0,55548.03507264
310,1120310,Terras de Bouro,0,0,0,0,0,0
313,1120313,Vila Verde,0,0,0,0,0,0
307,1130307,Fafe,0,0,0,0,0,0
308,1130308,Guimarães,0,0,0,0,0,0
309,1130309,Póvoa de Lanhoso,0,0,0,0,0,0
1314,1131314,Santo Tirso,0,0,0,0,0,0
1318,1131318,Trofa,0,0,0,0,0,0
311,1130311,Vieira do Minho,0,0,0,0,0,0
312,1130312,Vila Nova de Famalicão,0,0,0,0,0,0
314,1130314,Vizela,0,0,0,0,0,0
107,1140107,Espinho,0,0,0,0,0,0
1304,1141304,Gondomar,0,0,0,0,0,0
1306,1141306,Maia,0,0,0,0,0,0
1308,1141308,Matosinhos,0,0,0,0,0,0
1312,1141312,Porto,0,0,0,0,0,0
1313,1141313,Póvoa de Varzim,537929.25444,0,0,0,0,537929.25444
1315,1141315,Valongo,0,0,0,0,0,0
1316,1141316,Vila do Conde,0,0,0,0,0,0
1317,1141317,Vila Nova de Gaia,0,0,0,0,0,0
1301,1151301,Amarante,0,0,0,0,0,0
1302,1151302,Baião,0,0,0,0,0,0
304,1150304,Cabeceiras de Basto,0,0,0,0,0,0
106,1150106,Castelo de Paiva,455.936229,4.7439,3.14235936,0,0,463.82248836
305,1150305,Celorico de Basto,0,0,0,0,0,0
1804,1151804,Cinfães,0,0,0,0,0,0
1303,1151303,Felgueiras,0,0,0,0,0,0
1305,1151305,Lousada,0,0,0,0,0,0
1307,1151307,Marco de Canaveses,0,0,0,0,0,0
1705,1151705,Mondim de Basto,0,0,0,0,0,0
1309,1151309,Paços de Ferreira,0,0,0,0,0,0
1310,1151310,Paredes,0,0,0,0,0,0
1311,1151311,Penafiel,0,0,0,0,0,0
1813,1151813,Resende,0,0,0,0,0,0
1709,1151709,Ribeira de Pena,0,0,0,0,0,0
104,1160104,Arouca,0,0,0,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0,0,0,0
109,1160109,Santa Maria da Feira,0,0,0,0,0,0
116,1160116,São João da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,0,0,0,0,0,0
1701,1171701,Alijó,0,0,0,0,0,0
