Muni_ID,ID,Muni,horticulture_extensive,horticulture_intensive,sum
1601,1111601,Arcos de Valdevez,2.259,12.4570296,14.7160296
1602,1111602,Caminha,0,0,0
1603,1111603,Melgaço,0,0,0
1604,1111604,Monção,0,0,0
1605,1111605,Paredes de Coura,0,0,0
1606,1111606,Ponte da Barca,0,0,0
1607,1111607,Ponte de Lima,0,86.16173886,86.16173886
1608,1111608,Valença,0,0,0
1609,1111609,Viana do Castelo,56.97139266,794.67788736,851.64928002
1610,1111610,Vila Nova de Cerveira,0,8.34973839,8.34973839
301,1120301,Amares,0,0,0
302,1120302,Barcelos,437.130054,1245.5956575,1682.7257115
303,1120303,Braga,109.7874,102.86774415,212.65514415
306,1120306,Esposende,1624.98146976,18302.57667216,19927.55814192
310,1120310,Terras de Bouro,0,0,0
313,1120313,Vila Verde,0,0,0
307,1130307,Fafe,0,0,0
308,1130308,Guimarães,0,0,0
309,1130309,Póvoa de Lanhoso,0,0,0
1314,1131314,Santo Tirso,0,0,0
1318,1131318,Trofa,0,0,0
311,1130311,Vieira do Minho,0,0,0
312,1130312,Vila Nova de Famalicão,0,0,0
314,1130314,Vizela,0,0,0
107,1140107,Espinho,0,0,0
1304,1141304,Gondomar,0,0,0
1306,1141306,Maia,0,0,0
1308,1141308,Matosinhos,0,0,0
1312,1141312,Porto,0,0,0
1313,1141313,Póvoa de Varzim,16804.72359,106045.852185,122850.575775
1315,1141315,Valongo,0,0,0
1316,1141316,Vila do Conde,0,0,0
1317,1141317,Vila Nova de Gaia,0,0,0
1301,1151301,Amarante,0,0,0
1302,1151302,Baião,0,0,0
304,1150304,Cabeceiras de Basto,0,0,0
106,1150106,Castelo de Paiva,0,6.34117113,6.34117113
305,1150305,Celorico de Basto,0,0,0
1804,1151804,Cinfães,0,0,0
1303,1151303,Felgueiras,0,0,0
1305,1151305,Lousada,0,0,0
1307,1151307,Marco de Canaveses,0,0,0
1705,1151705,Mondim de Basto,0,0,0
1309,1151309,Paços de Ferreira,0,0,0
1310,1151310,Paredes,0,0,0
1311,1151311,Penafiel,0,0,0
1813,1151813,Resende,0,0,0
1709,1151709,Ribeira de Pena,0,0,0
104,1160104,Arouca,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0
109,1160109,Santa Maria da Feira,0,0,0
116,1160116,São João da Madeira,0,0,0
119,1160119,Vale de Cambra,0,0,0
1701,1171701,Alijó,0,0,0
1801,1171801,Armamar,0,0,0
403,1170403,Carrazeda de Ansiães,0,0,0
404,1170404,Freixo de Espada à Cinta,0,0,0
1805,1171805,Lamego,0,0,0
1704,1171704,Mesão Frio,0,0,0
1807,1171807,Moimenta da Beira,0,0,0
1812,1171812,Penedono,0,0,0
1708,1171708,Peso da Régua,0,0,0
1710,1171710,Sabrosa,0,0,0
1711,1171711,Santa Marta de Penaguião,0,0,0
1815,1171815,São João da Pesqueira,0,0,0
1818,1171818,Sernancelhe,0,0,0
1819,1171819,Tabuaço,0,7.3670508,7.3670508
1820,1171820,Tarouca,0,0,0
409,1170409,Torre de Moncorvo,0,0,0
410,1170410,Vila Flor,0,0,0
914,1170914,Vila Nova de Foz Côa,0,0,0
1714,1171714,Vila Real,0,0,0
401,1180401,Alfândega da Fé,5.44647159,3.65517495,9.10164654
1702,1181702,Boticas,0,0,0
402,1180402,Bragança,151.6071375,134.92315746,286.53029496
1703,1181703,Chaves,0,0,0
405,1180405,Macedo de Cavaleiros,0,0,0
406,1180406,Miranda do Douro,0,0,0
407,1180407,Mirandela,56.9814678,130.1102676,187.0917354
408,1180408,Mogadouro,0,5.30865,5.30865
1706,1181706,Montalegre,0,0,0
1707,1181707,Murça,0,53.445753288,53.445753288
1712,1181712,Valpaços,10.1655,14.2366698,24.4021698
1713,1181713,Vila Pouca de Aguiar,0,0,0
411,1180411,Vimioso,0,0,0
412,1180412,Vinhais,0,0,0
101,1610101,Águeda,0,523.938327696,523.938327696
102,1610102,Albergaria-a-Velha,29.3837166,64.23342255,93.61713915
103,1610103,Anadia,79.48119816,110.25474192,189.73594008
105,1610105,Aveiro,454.5943938432,7442.6785860204,7897.2729798636
108,1610108,Estarreja,120.90746304,802.61047881,923.51794185
110,1610110,Ílhavo,297.5592014766,533.1171012399,830.6763027165
111,1610111,Mealhada,133.3512892368,435.1416822,568.4929714368
112,1610112,Murtosa,484.61165476416,2479.78810770273,2964.39976246689
114,1610114,Oliveira do Bairro,860.33798136,3071.57104034208,3931.90902170208
115,1610115,Ovar,223.6473685728,779.9042062728,1003.5515748456
117,1610117,Sever do Vouga,279.971424,0,279.971424
118,1610118,Vagos,277.57726857216,2080.17170756352,2357.74897613568
602,1620602,Cantanhede,1386.0899860608,3933.9362837232,5320.026269784
603,1620603,Coimbra,1278.038313108,8114.7860628516,9392.8243759596
604,1620604,Condeixa-a-Nova,197.495334,1733.3682698808,1930.8636038808
605,1620605,Figueira da Foz,1464.7834257408,964.468809216,2429.2522349568
608,1620608,Mira,355.3237575,2357.1930825,2712.51684
610,1620610,Montemor-o-Velho,243.7488108,210.8207232,454.569534
613,1620613,Penacova,0,85.79216646,85.79216646
615,1620615,Soure,2728.14044544,8468.40989484,11196.55034028
1004,1631004,Batalha,0,1971.16600397184,1971.16600397184
1009,1631009,Leiria,135.680058,435.842424,571.522482
1010,1631010,Marinha Grande,40.2348904182,25.7991891642,66.0340795824
1015,1631015,Pombal,954.45533088,2485.5772482,3440.03257908
1016,1631016,Porto de Mós,3.1863195,104.1342525,107.320572
1002,1641002,Alvaiázere,0,0,0
1003,1641003,Ansião,70.7600124,47.7127908,118.4728032
601,1640601,Arganil,0,144.3501,144.3501
1007,1641007,Castanheira de Pêra,0,0,0
1008,1641008,Figueiró dos Vinhos,0,0,0
606,1640606,Góis,0,0,0
607,1640607,Lousã,22.139611875,116.15621168925,138.29582356425
609,1640609,Miranda do Corvo,0,1116.67127454,1116.67127454
611,1640611,Oliveira do Hospital,0,18.9756,18.9756
612,1640612,Pampilhosa da Serra,0,0,0
1013,1641013,Pedrógão Grande,0,0,0
614,1640614,Penela,0,0,0
616,1640616,Tábua,23.8253603544,41.0036132088,64.8289735632
617,1640617,Vila Nova de Poiares,0,18.9652969269,18.9652969269
901,1650901,Aguiar da Beira,0,24.0212879424,24.0212879424
1802,1651802,Carregal do Sal,0,73.8643302,73.8643302
1803,1651803,Castro Daire,6.372639,0,6.372639
1806,1651806,Mangualde,1.6721118,22.3089804,23.9810922
1808,1651808,Mortágua,0,0,0
1809,1651809,Nelas,0,48.672414,48.672414
1810,1651810,Oliveira de Frades,0,0,0
1811,1651811,Penalva do Castelo,0,3.3885,3.3885
1814,1651814,Santa Comba Dão,0,135.4243681152,135.4243681152
1816,1651816,São Pedro do Sul,8.979525,248.24076453,257.22028953
1817,1651817,Sátão,5.0606118,24.1956972,29.256309
1821,1651821,Tondela,40.662,1188.4201416,1229.0821416
1822,1651822,Vila Nova de Paiva,0,0,0
1823,1651823,Viseu,3.3885,49.7648664,53.1533664
1824,1651824,Vouzela,0,30.4965,30.4965
1413,1661413,Mação,0,0,0
506,1660506,Oleiros,0,0,0
508,1660508,Proença-a-Nova,0,0,0
509,1660509,Sertã,0,0,0
510,1660510,Vila de Rei,0,0,0
905,1670905,Fornos de Algodres,0,0,0
906,1670906,Gouveia,0,1286.9947692,1286.9947692
912,1670912,Seia,37.2735,362.571759,399.845259
902,1680902,Almeida,0,0,0
903,1680903,Celorico da Beira,0,0,0
904,1680904,Figueira de Castelo Rodrigo,0,21.47075586,21.47075586
907,1680907,Guarda,34.61813586,11.66287815,46.28101401
908,1680908,Manteigas,0,7.624125,7.624125
909,1680909,Mêda,0,4.2410466,4.2410466
910,1680910,Pinhel,2.17374534,3.9381147,6.11186004
911,1680911,Sabugal,2.259,3.3885,5.6475
913,1680913,Trancoso,0,0,0
502,1690502,Castelo Branco,0,0,0
505,1690505,Idanha-a-Nova,0,0,0
507,1690507,Penamacor,26.08085529,0,26.08085529
511,1690511,Vila Velha de Ródão,0,0,0
501,16A0501,Belmonte,42.6232638,15.24825,57.8715138
503,16A0503,Covilhã,0,0,0
504,16A0504,Fundão,20.4968106,72.498087,92.9948976
1001,16B1001,Alcobaça,1954.4651136,3192.9754176,5147.4405312
1101,16B1101,Alenquer,648.33026661,22.41524376,670.74551037
1102,16B1102,Arruda dos Vinhos,2.941218,62.567523,65.508741
1005,16B1005,Bombarral,11.1906342,910.5897978,921.780432
1104,16B1104,Cadaval,0,0,0
1006,16B1006,Caldas da Rainha,2953.240398,3706.811172,6660.05157
1108,16B1108,Lourinhã,3940.8544152,26137.4043852,30078.2588004
1011,16B1011,Nazaré,411.06090855276,870.95478724893,1282.01569580169
1012,16B1012,Óbidos,481.6883772,1011.8124252,1493.5008024
1014,16B1014,Peniche,2031.520841532,5879.799128034,7911.319969566
1112,16B1112,Sobral de Monte Agraço,110.7725499,216.32780376,327.10035366
1113,16B1113,Torres Vedras,2108.45719035,7310.83249017,9419.28968052
1401,16C1401,Abrantes,145.1832192,32.940738,178.1239572
1402,16C1402,Alcanena,40.7848896,6.058638,46.8435276
1408,16C1408,Constância,0,0,0
1410,16C1410,Entroncamento,2492.876529,2186.836245,4679.712774
1411,16C1411,Ferreira do Zêzere,71.3735568,233.2607256,304.6342824
1421,16C1421,Ourém,0,0,0
1417,16C1417,Sardoal,0,0,0
1418,16C1418,Tomar,0,123.4965933,123.4965933
1419,16C1419,Torres Novas,0,0,0
1420,16C1420,Vila Nova da Barquinha,0,0,0
1115,1711115,Amadora,0,0,0
1105,1711105,Cascais,0,0,0
1106,1711106,Lisboa,0,78.88428,78.88428
1107,1711107,Loures,1872.24492312,7625.72471085,9497.96963397
