Muni_ID,ID,Muni,perma_grassland,tempo_grassland,sum
1601,1111601,Arcos de Valdevez,1655.847,1525.8176046,3181.6646046
1602,1111602,Caminha,0,0,0
1603,1111603,Melgaço,0,0,0
1604,1111604,Monção,909.2475,463.095,1372.3425
1605,1111605,Paredes de Coura,0,0,0
1606,1111606,Ponte da Barca,0,0,0
1607,1111607,Ponte de Lima,421.50211128,473.1134391,894.61555038
1608,1111608,Valença,0,0,0
1609,1111609,Viana do Castelo,414.61952562,858.81866832,1273.43819394
1610,1111610,Vila Nova de Cerveira,49.81095,223.71805449,273.52900449
301,1120301,Amares,0,0,0
302,1120302,Barcelos,542.675052,559.617552,1102.292604
303,1120303,Braga,403.80232671,195.27030936,599.07263607
306,1120306,Esposende,0,462.64464576,462.64464576
310,1120310,Terras de Bouro,0,0,0
313,1120313,Vila Verde,0,0,0
307,1130307,Fafe,0,0,0
308,1130308,Guimarães,0,0,0
309,1130309,Póvoa de Lanhoso,0,0,0
1314,1131314,Santo Tirso,0,0,0
1318,1131318,Trofa,0,0,0
311,1130311,Vieira do Minho,0,0,0
312,1130312,Vila Nova de Famalicão,0,0,0
314,1130314,Vizela,0,0,0
107,1140107,Espinho,0,0,0
1304,1141304,Gondomar,0,0,0
1306,1141306,Maia,0,0,0
1308,1141308,Matosinhos,0,0,0
1312,1141312,Porto,0,0,0
1313,1141313,Póvoa de Varzim,2438.70345,0,2438.70345
1315,1141315,Valongo,0,0,0
1316,1141316,Vila do Conde,0,0,0
1317,1141317,Vila Nova de Gaia,0,0,0
1301,1151301,Amarante,0,0,0
1302,1151302,Baião,0,0,0
304,1150304,Cabeceiras de Basto,0,0,0
106,1150106,Castelo de Paiva,71.33829381,30.83535,102.17364381
305,1150305,Celorico de Basto,0,0,0
1804,1151804,Cinfães,0,0,0
1303,1151303,Felgueiras,0,0,0
1305,1151305,Lousada,0,0,0
1307,1151307,Marco de Canaveses,0,0,0
1705,1151705,Mondim de Basto,0,0,0
1309,1151309,Paços de Ferreira,0,0,0
1310,1151310,Paredes,0,0,0
1311,1151311,Penafiel,0,0,0
1813,1151813,Resende,0,0,0
1709,1151709,Ribeira de Pena,0,0,0
104,1160104,Arouca,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0
109,1160109,Santa Maria da Feira,0,0,0
116,1160116,São João da Madeira,0,0,0
119,1160119,Vale de Cambra,0,0,0
1701,1171701,Alijó,0,0,0
1801,1171801,Armamar,0,0,0
403,1170403,Carrazeda de Ansiães,0,0,0
404,1170404,Freixo de Espada à Cinta,0,0,0
1805,1171805,Lamego,0,0,0
1704,1171704,Mesão Frio,0,0,0
1807,1171807,Moimenta da Beira,0,0,0
1812,1171812,Penedono,0,0,0
1708,1171708,Peso da Régua,0,0,0
1710,1171710,Sabrosa,0,0,0
1711,1171711,Santa Marta de Penaguião,0,0,0
1815,1171815,São João da Pesqueira,0,0,0
1818,1171818,Sernancelhe,0,0,0
1819,1171819,Tabuaço,11.295,0,11.295
1820,1171820,Tarouca,0,0,0
409,1170409,Torre de Moncorvo,0,0,0
410,1170410,Vila Flor,0,0,0
914,1170914,Vila Nova de Foz Côa,0,0,0
1714,1171714,Vila Real,0,0,0
401,1180401,Alfândega da Fé,175.35114765,23.37556725,198.7267149
1702,1181702,Boticas,6176.106,0,6176.106
402,1180402,Bragança,33612.73519968,2914.3105992,36527.04579888
1703,1181703,Chaves,0,0,0
405,1180405,Macedo de Cavaleiros,0,0,0
406,1180406,Miranda do Douro,0,0,0
407,1180407,Mirandela,315.308961,0,315.308961
408,1180408,Mogadouro,20.9266983,20.9266983,41.8533966
1706,1181706,Montalegre,0,0,0
1707,1181707,Murça,264.84516,0,264.84516
1712,1181712,Valpaços,465.354,2.259,467.613
1713,1181713,Vila Pouca de Aguiar,0,0,0
411,1180411,Vimioso,0,0,0
412,1180412,Vinhais,0,0,0
101,1610101,Águeda,1096.6378752,0,1096.6378752
102,1610102,Albergaria-a-Velha,167.949873,0,167.949873
103,1610103,Anadia,96.9815808,0,96.9815808
105,1610105,Aveiro,202.176289224,115.529308128,317.705597352
108,1610108,Estarreja,21279.6304542,464.1982956,21743.8287498
110,1610110,Ílhavo,96.216335514,0,96.216335514
111,1610111,Mealhada,140.502065184,0,140.502065184
112,1610112,Murtosa,652.3549376058,50.1811490466,702.5360866524
114,1610114,Oliveira do Bairro,807.1534516032,89.6837168448,896.837168448
115,1610115,Ovar,682.10812224,391.744972944,1073.853095184
117,1610117,Sever do Vouga,1795.176770688,1364.207425344,3159.384196032
118,1610118,Vagos,113.5331039232,0,113.5331039232
602,1620602,Cantanhede,1175.376350304,81.060437952,1256.436788256
603,1620603,Coimbra,3844.180867122,400.81247244,4244.993339562
604,1620604,Condeixa-a-Nova,2845.863875088,98.133237072,2943.99711216
605,1620605,Figueira da Foz,1231.263576576,320.03921664,1551.302793216
608,1620608,Mira,40.6450575,0,40.6450575
610,1620610,Montemor-o-Velho,728.3594304,35.7676506,764.127081
613,1620613,Penacova,88.76880558,0,88.76880558
615,1620615,Soure,2881.34564472,154.12605804,3035.47170276
1004,1631004,Batalha,75.99032466246,0,75.99032466246
1009,1631009,Leiria,250.9211358,56.5436736,307.4648094
1010,1631010,Marinha Grande,53.27884201284,0,53.27884201284
1015,1631015,Pombal,4216.44771648,697.60938024,4914.05709672
1016,1631016,Porto de Mós,78.8086035,0,78.8086035
1002,1641002,Alvaiázere,121.1239656,0,121.1239656
1003,1641003,Ansião,1211.239656,234.1155312,1445.3551872
601,1640601,Arganil,6094.80766224,1800.73862748,7895.54628972
1007,1641007,Castanheira de Pêra,65.87458275186,0,65.87458275186
1008,1641008,Figueiró dos Vinhos,290.69345124,0,290.69345124
606,1640606,Góis,10.98814742478,7.6338387,18.62198612478
607,1640607,Lousã,63.73551466575,0,63.73551466575
609,1640609,Miranda do Corvo,861.35005854,143.55834309,1004.90840163
611,1640611,Oliveira do Hospital,3458.74839408,1982.28731904,5441.03571312
612,1640612,Pampilhosa da Serra,0,0,0
1013,1641013,Pedrógão Grande,54.24895824525,0,54.24895824525
614,1640614,Penela,1980.2272014,715.1639337,2695.3911351
616,1640616,Tábua,581.7250693584,1097.5427384328,1679.2678077912
617,1640617,Vila Nova de Poiares,9.60881675346,0,9.60881675346
901,1650901,Aguiar da Beira,2334.38553790848,0,2334.38553790848
1802,1651802,Carregal do Sal,147.7939455,193.4704737,341.2644192
1803,1651803,Castro Daire,1169.6144184,4.518,1174.1324184
1806,1651806,Mangualde,657.2682486,412.8851106,1070.1533592
1808,1651808,Mortágua,0,0,0
1809,1651809,Nelas,448.7214348,0,448.7214348
1810,1651810,Oliveira de Frades,85.7394414,100.286046,186.0254874
1811,1651811,Penalva do Castelo,84.1992552,26.0128368,110.212092
1814,1651814,Santa Comba Dão,756.21834612612,55.98677507076,812.20512119688
1816,1651816,São Pedro do Sul,1557.26873541,600.26807628,2157.53681169
1817,1651817,Sátão,376.4316276,15.5392092,391.9708368
1821,1651821,Tondela,5272.9288848,276.420276,5549.3491608
1822,1651822,Vila Nova de Paiva,5928.97761225,19.76625,5948.74386225
1823,1651823,Viseu,517.374252,38.140956,555.515208
1824,1651824,Vouzela,2495.3232519,55.2942207,2550.6174726
1413,1661413,Mação,0,0,0
