Muni_ID,ID,Muni,leaching_large,leaching_small,leaching_gw,SUM
1601,1111601,Arcos de Valdevez,8.883,4.896,454.075,467.854
1602,1111602,Caminha,1.163,0.754,59.174,61.091
1603,1111603,Melgaço,0.405,0,84.165,84.57
1604,1111604,Monção,7.136,0,364.997,372.133
1605,1111605,Paredes de Coura,0,0.539,459.641,460.18
1606,1111606,Ponte da Barca,2.257,0.178,346.074,348.509
1607,1111607,Ponte de Lima,3.578,8.927,736.8,749.305
1608,1111608,Valença,3.284,0,193.58,196.864
1609,1111609,Viana do Castelo,0.52,1.797,77.076,79.393
1610,1111610,Vila Nova de Cerveira,0,0,0,0
301,1120301,Amares,2.988,0.117,242.845,245.95
302,1120302,Barcelos,0,0,0,0
303,1120303,Braga,12.851,0.046,222.819,235.716
306,1120306,Esposende,0,0,0,0
310,1120310,Terras de Bouro,6.255,0.191,205.732,212.178
313,1120313,Vila Verde,0.314,0.243,697.205,697.762
307,1130307,Fafe,0,2.86,871.519,874.379
308,1130308,Guimarães,0,11.437,478.525,489.962
309,1130309,Póvoa de Lanhoso,0.656,0.298,328.495,329.449
1314,1131314,Santo Tirso,0,0,0,0
1318,1131318,Trofa,0,0,0,0
311,1130311,Vieira do Minho,2.125,0,212.511,214.636
312,1130312,Vila Nova de Famalicão,0,0,0,0
314,1130314,Vizela,0,4.21,57.847,62.057
107,1140107,Espinho,0,0,9.291,9.291
1304,1141304,Gondomar,14.587,0,156.266,170.853
1306,1141306,Maia,0,0,0,0
1308,1141308,Matosinhos,0,0,0,0
1312,1141312,Porto,0,0,0,0
1313,1141313,Póvoa de Varzim,0,0,0,0
1315,1141315,Valongo,0,0,0,0
1316,1141316,Vila do Conde,0,0,0,0
1317,1141317,Vila Nova de Gaia,2.725,0,190.663,193.388
1301,1151301,Amarante,7.02,5.528,949.723,962.271
1302,1151302,Baião,11.515,0,510.27,521.785
304,1150304,Cabeceiras de Basto,5.613,3.492,550.947,560.052
106,1150106,Castelo de Paiva,3.273,0.297,184.526,188.096
305,1150305,Celorico de Basto,1.432,0,629.989,631.421
1804,1151804,Cinfães,2.902,2.921,418.266,424.089
1303,1151303,Felgueiras,0,7.476,417.178,424.654
1305,1151305,Lousada,0,0,207.639,207.639
1307,1151307,Marco de Canaveses,11.344,0,554.79,566.134
1705,1151705,Mondim de Basto,2.418,6.67,452.633,461.721
1309,1151309,Paços de Ferreira,0,0.019,51.563,51.582
1310,1151310,Paredes,0,5.86,215.446,221.306
1311,1151311,Penafiel,0.997,2.81,396.113,399.92
1813,1151813,Resende,0,0.399,141.334,141.733
1709,1151709,Ribeira de Pena,2.978,4.027,378.64,385.645
104,1160104,Arouca,0,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0,0
109,1160109,Santa Maria da Feira,0,0,0,0
116,1160116,São João da Madeira,0,0,0,0
119,1160119,Vale de Cambra,0,0,0,0
1701,1171701,Alijó,0.702,0.991,310.869,312.562
1801,1171801,Armamar,3.852,22.082,190.292,216.226
403,1170403,Carrazeda de Ansiães,0.498,0.113,296.98,297.591
404,1170404,Freixo de Espada à Cinta,3.27,0.022,328.527,331.819
1805,1171805,Lamego,0.302,0.367,175.766,176.435
1704,1171704,Mesão Frio,0,0,0,0
1807,1171807,Moimenta da Beira,0,0,0,0
1812,1171812,Penedono,0,3.798,336.776,340.574
1708,1171708,Peso da Régua,0.094,1.407,191.811,193.312
1710,1171710,Sabrosa,0.463,0.347,149.504,150.314
1711,1171711,Santa Marta de Penaguião,3.042,0.56,173.126,176.728
1815,1171815,São João da Pesqueira,1.542,1.115,616.348,619.005
1818,1171818,Sernancelhe,1.29,0.452,197.89,199.632
1819,1171819,Tabuaço,2.614,3.866,220.805,227.285
1820,1171820,Tarouca,0,0,99.532,99.532
409,1170409,Torre de Moncorvo,81.444,0.364,355.225,437.033
410,1170410,Vila Flor,96.233,0.79,526.65,623.673
914,1170914,Vila Nova de Foz Côa,3.141,3.363,490.218,496.722
1714,1171714,Vila Real,0,3.844,279.093,282.937
401,1180401,Alfândega da Fé,5.564,1.145,667.3,674.009
1702,1181702,Boticas,3.985,0.582,358.109,362.676
402,1180402,Bragança,12.337,0.089,3929.69,3942.116
1703,1181703,Chaves,0.191,12.34,1095.022,1107.553
405,1180405,Macedo de Cavaleiros,0.28,0.047,2248.121,2248.448
406,1180406,Miranda do Douro,2.751,0.023,987.138,989.912
407,1180407,Mirandela,47.91,2.096,2086.927,2136.933
408,1180408,Mogadouro,12.321,0.026,1876.502,1888.849
1706,1181706,Montalegre,7.09,0.82,721.796,729.706
1707,1181707,Murça,0,0.625,58.486,59.111
1712,1181712,Valpaços,1.325,2.095,2230.579,2233.999
1713,1181713,Vila Pouca de Aguiar,0.354,4.524,162.623,167.501
411,1180411,Vimioso,2.954,0,1005.958,1008.912
412,1180412,Vinhais,0.588,1.631,2221.945,2224.164
101,1610101,Águeda,21.692,6.497,307.625,335.814
102,1610102,Albergaria-a-Velha,0.098,0.207,19.378,19.683
103,1610103,Anadia,0,3.104,388.536,391.64
105,1610105,Aveiro,1.048,0.79,143.52,145.358
108,1610108,Estarreja,0,0,0,0
110,1610110,Ílhavo,10.832,3.833,150.473,165.138
111,1610111,Mealhada,0,57.138,404.655,461.793
112,1610112,Murtosa,0,0,0,0
114,1610114,Oliveira do Bairro,0,1.776,107.358,109.134
115,1610115,Ovar,0,0,0,0
117,1610117,Sever do Vouga,0,3.048,237.008,240.056
118,1610118,Vagos,0,0,0,0
602,1620602,Cantanhede,0,0,0,0
603,1620603,Coimbra,87.933,20.391,1615.683,1724.007
604,1620604,Condeixa-a-Nova,24.933,0,620.81,645.743
605,1620605,Figueira da Foz,0,0,0,0
608,1620608,Mira,0.07,0.016,2.768,2.854
610,1620610,Montemor-o-Velho,0.078,0.046,13.523,13.647
613,1620613,Penacova,10.172,1.967,254.385,266.524
615,1620615,Soure,2.808,5.168,1472.574,1480.55
1004,1631004,Batalha,0,188.85,292.017,480.867
1009,1631009,Leiria,61.178,0.852,2976.422,3038.452
1010,1631010,Marinha Grande,2.074,0,87.559,89.633
1015,1631015,Pombal,3.531,0.65,1310.057,1314.238
1016,1631016,Porto de Mós,0,0.007,14.853,14.86
1002,1641002,Alvaiázere,0,0,429.831,429.831
1003,1641003,Ansião,0,0,695.469,695.469
601,1640601,Arganil,18.059,0,177.525,195.584
1007,1641007,Castanheira de Pêra,0,0.128,14.022,14.15
1008,1641008,Figueiró dos Vinhos,0.319,0.112,114.096,114.527
606,1640606,Góis,0.296,0.369,44.848,45.513
607,1640607,Lousã,0,5.457,76.324,81.781
609,1640609,Miranda do Corvo,0,3.725,133.655,137.38
611,1640611,Oliveira do Hospital,3.302,46.2,407.609,457.111
612,1640612,Pampilhosa da Serra,1.094,0,36.705,37.799
1013,1641013,Pedrógão Grande,2.884,0,170.799,173.683
614,1640614,Penela,0,0,309.987,309.987
616,1640616,Tábua,1.556,4.248,264.935,270.739
617,1640617,Vila Nova de Poiares,0,0,73.827,73.827
901,1650901,Aguiar da Beira,0,1.246,250.968,252.214
1802,1651802,Carregal do Sal,0.382,0.098,191.53,192.01
1803,1651803,Castro Daire,0,5.061,231.114,236.175
1806,1651806,Mangualde,1.457,0,528.978,530.435
1808,1651808,Mortágua,2.501,0.211,577.369,580.081
1809,1651809,Nelas,0,0.559,198.476,199.035
1810,1651810,Oliveira de Frades,0,27.329,1075.511,1102.84
1811,1651811,Penalva do Castelo,1.381,45.366,294.885,341.632
1814,1651814,Santa Comba Dão,14.249,0,607.832,622.081
1816,1651816,São Pedro do Sul,0,8.06,372.588,380.648
1817,1651817,Sátão,0,0.178,273.506,273.684
1821,1651821,Tondela,0.517,3.542,1088.43,1092.489
1822,1651822,Vila Nova de Paiva,0,0,126.816,126.816
1823,1651823,Viseu,0.175,10.763,662.99,673.928
1824,1651824,Vouzela,0,35.256,742.76,778.016
1413,1661413,Mação,9.563,3.867,254.777,268.207
506,1660506,Oleiros,1.081,0.899,174.121,176.101
508,1660508,Proença-a-Nova,1.812,5.867,505.984,513.663
509,1660509,Sertã,5.286,0.166,344.102,349.554
510,1660510,Vila de Rei,0.08,0,33.394,33.474
905,1670905,Fornos de Algodres,0,3.172,194.526,197.698
906,1670906,Gouveia,0,1.048,238.735,239.783
912,1670912,Seia,0.179,12.715,729.474,742.368
902,1680902,Almeida,0,0.837,221.858,222.695
903,1680903,Celorico da Beira,0,7.368,441.714,449.082
904,1680904,Figueira de Castelo Rodrigo,22.395,4.415,1354.248,1381.058
907,1680907,Guarda,13.097,0.487,304.176,317.76
908,1680908,Manteigas,0,0.935,39.812,40.747
909,1680909,Mêda,4.016,0.679,633.295,637.99
910,1680910,Pinhel,1.157,0.8,574.006,575.963
911,1680911,Sabugal,0,2.433,248.023,250.456
913,1680913,Trancoso,18.281,0.507,411.814,430.602
502,1690502,Castelo Branco,36.26,9.732,2749.153,2795.145
505,1690505,Idanha-a-Nova,18.806,0.854,3054.147,3073.807
507,1690507,Penamacor,0,13.255,1012.844,1026.099
511,1690511,Vila Velha de Ródão,14.58,6.658,668.073,689.311
501,16A0501,Belmonte,0,0.051,342.157,342.208
503,16A0503,Covilhã,1.456,0.135,946.287,947.878
504,16A0504,Fundão,1.183,0.571,2385.34,2387.094
1001,16B1001,Alcobaça,0,5.701,3145.87,3151.571
1101,16B1101,Alenquer,0.308,2.11,4531.305,4533.723
1102,16B1102,Arruda dos Vinhos,0,0,729.191,729.191
1005,16B1005,Bombarral,0,44.071,379.995,424.066
1104,16B1104,Cadaval,0,1.332,637.45,638.782
1006,16B1006,Caldas da Rainha,1.397,263.446,1717.424,1982.267
1108,16B1108,Lourinhã,0,8.079,2289.191,2297.27
1011,16B1011,Nazaré,0,5.834,189.632,195.466
1012,16B1012,Óbidos,0.782,0.308,587.621,588.711
1014,16B1014,Peniche,23.838,0.329,1111.796,1135.963
1112,16B1112,Sobral de Monte Agraço,0,0,651.894,651.894
1113,16B1113,Torres Vedras,0.986,5.074,2336.394,2342.454
1401,16C1401,Abrantes,25.378,23.495,1867.053,1915.926
1402,16C1402,Alcanena,0,0,429.159,429.159
1408,16C1408,Constância,12.854,6.207,103.709,122.77
1410,16C1410,Entroncamento,0,1.815,20.946,22.761
1411,16C1411,Ferreira do Zêzere,1.799,0,1065.433,1067.232
1421,16C1421,Ourém,0,0,1253.845,1253.845
1417,16C1417,Sardoal,0,1.109,170.529,171.638
1418,16C1418,Tomar,21.152,3.74,985.516,1010.408
1419,16C1419,Torres Novas,27.402,3.64,2035.574,2066.616
1420,16C1420,Vila Nova da Barquinha,13.308,3.505,34.887,51.7
1115,1711115,Amadora,0,0,0,0
1105,1711105,Cascais,0,0,138.008,138.008
1106,1711106,Lisboa,0,0,0,0
1107,1711107,Loures,0.899,8.857,1149.139,1158.895
1109,1711109,Mafra,254.621,5.91,1876.688,2137.219
1116,1711116,Odivelas,0,0,0,0
1110,1711110,Oeiras,0,10.708,296.7,307.408
1111,1711111,Sintra,1.484,7.048,1584.893,1593.425
1114,1711114,Vila Franca de Xira,11.897,18.8,2312.017,2342.714
1502,1721502,Alcochete,0.439,0.639,291.45,292.528
1503,1721503,Almada,0,0,183.678,183.678
1504,1721504,Barreiro,0.226,0.108,13.161,13.495
1506,1721506,Moita,0,0,0,0
1507,1721507,Montijo,0.429,3.211,1183.473,1187.113
1508,1721508,Palmela,171.234,8.014,1506.622,1685.87
1510,1721510,Seixal,11.965,1.145,48.979,62.089
1511,1721511,Sesimbra,7.435,2.878,247.504,257.817
1512,1721512,Setúbal,13.473,1.095,709.279,723.847
1501,1811501,Alcácer do Sal,20.761,16.998,4899.208,4936.967
1505,1811505,Grândola,1.428,1.188,1568.258,1570.874
211,1810211,Odemira,8.687,34.402,4028.77,4071.859
1509,1811509,Santiago do Cacém,9.061,14.981,4152.117,4176.159
1513,1811513,Sines,0.752,1.226,258.796,260.774
1201,1821201,Alter do Chão,108.55,9.663,2763.106,2881.319
1202,1821202,Arronches,0.125,2.857,1307.638,1310.62
1203,1821203,Avis,0,1.754,3531.117,3532.871
1204,1821204,Campo Maior,23.67,0.191,2636.025,2659.886
