Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,SUM
1601,1111601,Arcos de Valdevez,209.781,176.502,0,76.82,463.103
1602,1111602,Caminha,6.381,0.048,0.434,28.534,35.397
1603,1111603,Melgaço,71.936,24.69,0.231,27.504,124.361
1604,1111604,Monção,73.89,70.437,0.287,35.828,180.442
1605,1111605,Paredes de Coura,40.691,94.668,0.186,40.938,176.483
1606,1111606,Ponte da Barca,63.833,53.806,0.284,48.524,166.447
1607,1111607,Ponte de Lima,60.408,187.243,0.271,130.406,378.328
1608,1111608,Valença,15.707,34.751,0.213,16.653,67.324
1609,1111609,Viana do Castelo,13.4,26.869,0.481,40.403,81.153
1610,1111610,Vila Nova de Cerveira,8.894,18.847,0.455,16.03,44.226
301,1120301,Amares,27.86,17.288,0,66.035,111.183
302,1120302,Barcelos,57.401,3.638,1.045,296.591,358.675
303,1120303,Braga,43.858,90.653,1.101,74.6,210.212
306,1120306,Esposende,6.878,9.011,0.249,37.781,53.919
310,1120310,Terras de Bouro,66.298,75.836,0.09,23.698,165.922
313,1120313,Vila Verde,92.872,167.022,0.036,59.732,319.662
307,1130307,Fafe,92.015,221.41,0.397,71.877,385.699
308,1130308,Guimarães,51.074,112.991,2.521,117.318,283.904
309,1130309,Póvoa de Lanhoso,46.138,110.316,0.026,34.984,191.464
1314,1131314,Santo Tirso,15.564,27.215,4.252,47.632,94.663
1318,1131318,Trofa,6.338,0.779,0,39.855,46.972
311,1130311,Vieira do Minho,94.608,102.268,0.007,38.016,234.899
312,1130312,Vila Nova de Famalicão,31.951,1.715,3.476,120.999,158.141
314,1130314,Vizela,3.826,23.012,0,8.669,35.507
107,1140107,Espinho,0.018,0.117,0.078,0.134,0.347
1304,1141304,Gondomar,11.825,44.503,1.168,22.932,80.428
1306,1141306,Maia,3.301,1.457,0.396,13.645,18.799
1308,1141308,Matosinhos,3.512,1.014,0.235,14.904,19.665
1312,1141312,Porto,0,0,0,0,0
1313,1141313,Póvoa de Varzim,8.312,9.78,0,52.722,70.814
1315,1141315,Valongo,3.241,1.321,1.659,12.476,18.697
1316,1141316,Vila do Conde,16.328,0.676,0.003,92.842,109.849
1317,1141317,Vila Nova de Gaia,5.836,22.293,4.78,15.266,48.175
1301,1151301,Amarante,57.281,320.089,0.583,90.518,468.471
1302,1151302,Baião,45.223,216.959,0,36.864,299.046
304,1150304,Cabeceiras de Basto,105.895,173.838,0,35.136,314.869
106,1150106,Castelo de Paiva,22.335,76.753,0,23.44,122.528
