Muni_ID,ID,Muni,leaching_large,leaching_small,leaching_gw,SUM
1601,1111601,Arcos de Valdevez,3.079,1.697,181.63,186.406
1602,1111602,Caminha,0.403,0.261,23.67,24.334
1603,1111603,Melgaço,0.14,0,33.666,33.806
1604,1111604,Monção,2.474,0,145.999,148.473
1605,1111605,Paredes de Coura,0,0.187,183.856,184.043
1606,1111606,Ponte da Barca,0.783,0.062,138.43,139.275
1607,1111607,Ponte de Lima,1.24,3.095,294.72,299.055
1608,1111608,Valença,1.138,0,77.432,78.57
1609,1111609,Viana do Castelo,0.18,0.623,30.83,31.633
1610,1111610,Vila Nova de Cerveira,0,0,0,0
301,1120301,Amares,1.036,0.041,97.138,98.215
302,1120302,Barcelos,0,0,0,0
303,1120303,Braga,4.455,0.016,89.128,93.599
306,1120306,Esposende,0,0,0,0
310,1120310,Terras de Bouro,2.169,0.066,82.293,84.528
313,1120313,Vila Verde,0.109,0.084,278.882,279.075
307,1130307,Fafe,0,0.992,348.607,349.599
308,1130308,Guimarães,0,3.965,191.41,195.375
309,1130309,Póvoa de Lanhoso,0.228,0.103,131.398,131.729
1314,1131314,Santo Tirso,0,0,0,0
1318,1131318,Trofa,0,0,0,0
311,1130311,Vieira do Minho,0.737,0,85.004,85.741
312,1130312,Vila Nova de Famalicão,0,0,0,0
314,1130314,Vizela,0,1.459,23.139,24.598
107,1140107,Espinho,0,0,3.716,3.716
1304,1141304,Gondomar,5.057,0,62.506,67.563
1306,1141306,Maia,0,0,0,0
1308,1141308,Matosinhos,0,0,0,0
1312,1141312,Porto,0,0,0,0
1313,1141313,Póvoa de Varzim,0,0,0,0
1315,1141315,Valongo,0,0,0,0
1316,1141316,Vila do Conde,0,0,0,0
1317,1141317,Vila Nova de Gaia,0.945,0,76.265,77.21
1301,1151301,Amarante,2.434,1.917,379.889,384.24
1302,1151302,Baião,3.992,0,204.108,208.1
304,1150304,Cabeceiras de Basto,1.946,1.211,220.379,223.536
106,1150106,Castelo de Paiva,1.135,0.103,73.81,75.048
305,1150305,Celorico de Basto,0.496,0,251.996,252.492
1804,1151804,Cinfães,1.006,1.013,167.306,169.325
1303,1151303,Felgueiras,0,2.592,166.871,169.463
1305,1151305,Lousada,0,0,83.056,83.056
1307,1151307,Marco de Canaveses,3.933,0,221.916,225.849
1705,1151705,Mondim de Basto,0.838,2.312,181.053,184.203
1309,1151309,Paços de Ferreira,0,0.007,20.625,20.632
1310,1151310,Paredes,0,2.031,86.178,88.209
1311,1151311,Penafiel,0.346,0.974,158.445,159.765
1813,1151813,Resende,0,0.138,56.534,56.672
1709,1151709,Ribeira de Pena,1.032,1.396,151.456,153.884
104,1160104,Arouca,0,0,0,0
113,1160113,Oliveira de Azeméis,0,0,0,0
109,1160109,Santa Maria da Feira,0,0,0,0
116,1160116,São João da Madeira,0,0,0,0
119,1160119,Vale de Cambra,0,0,0,0
1701,1171701,Alijó,0.244,0.343,124.348,124.935
1801,1171801,Armamar,1.335,7.655,76.117,85.107
403,1170403,Carrazeda de Ansiães,0.173,0.039,118.792,119.004
404,1170404,Freixo de Espada à Cinta,1.134,0.007,131.411,132.552
1805,1171805,Lamego,0.105,0.127,70.306,70.538
1704,1171704,Mesão Frio,0,0,0,0
1807,1171807,Moimenta da Beira,0,0,0,0
1812,1171812,Penedono,0,1.317,134.71,136.027
1708,1171708,Peso da Régua,0.033,0.488,76.725,77.246
1710,1171710,Sabrosa,0.16,0.12,59.802,60.082
1711,1171711,Santa Marta de Penaguião,1.055,0.194,69.251,70.5
1815,1171815,São João da Pesqueira,0.534,0.387,246.539,247.46
1818,1171818,Sernancelhe,0.447,0.157,79.156,79.76
1819,1171819,Tabuaço,0.906,1.34,88.322,90.568
1820,1171820,Tarouca,0,0,39.813,39.813
409,1170409,Torre de Moncorvo,28.234,0.126,142.09,170.45
410,1170410,Vila Flor,33.361,0.274,210.66,244.295
914,1170914,Vila Nova de Foz Côa,1.089,1.166,196.087,198.342
1714,1171714,Vila Real,0,1.332,111.637,112.969
401,1180401,Alfândega da Fé,1.929,0.397,266.92,269.246
1702,1181702,Boticas,1.381,0.202,143.244,144.827
402,1180402,Bragança,4.277,0.031,1571.876,1576.184
1703,1181703,Chaves,0.066,4.278,438.009,442.353
405,1180405,Macedo de Cavaleiros,0.097,0.016,899.248,899.361
406,1180406,Miranda do Douro,0.954,0.008,394.855,395.817
407,1180407,Mirandela,16.609,0.727,834.771,852.107
408,1180408,Mogadouro,4.271,0.009,750.601,754.881
1706,1181706,Montalegre,2.458,0.284,288.719,291.461
1707,1181707,Murça,0,0.217,23.394,23.611
1712,1181712,Valpaços,0.459,0.726,892.232,893.417
1713,1181713,Vila Pouca de Aguiar,0.123,1.568,65.049,66.74
411,1180411,Vimioso,1.024,0,402.383,403.407
412,1180412,Vinhais,0.204,0.565,888.778,889.547
101,1610101,Águeda,7.52,2.252,123.05,132.822
102,1610102,Albergaria-a-Velha,0.034,0.072,7.751,7.857
103,1610103,Anadia,0,1.076,155.414,156.49
105,1610105,Aveiro,0.363,0.274,57.408,58.045
108,1610108,Estarreja,0,0,0,0
110,1610110,Ílhavo,3.755,1.329,60.189,65.273
111,1610111,Mealhada,0,19.808,161.862,181.67
112,1610112,Murtosa,0,0,0,0
114,1610114,Oliveira do Bairro,0,0.616,42.943,43.559
115,1610115,Ovar,0,0,0,0
117,1610117,Sever do Vouga,0,1.057,94.803,95.86
118,1610118,Vagos,0,0,0,0
602,1620602,Cantanhede,0,0,0,0
603,1620603,Coimbra,30.483,7.069,646.273,683.825
604,1620604,Condeixa-a-Nova,8.644,0,248.324,256.968
605,1620605,Figueira da Foz,0,0,0,0
608,1620608,Mira,0.024,0.006,1.107,1.137
610,1620610,Montemor-o-Velho,0.027,0.016,5.409,5.452
613,1620613,Penacova,3.526,0.682,101.754,105.962
615,1620615,Soure,0.973,1.792,589.03,591.795
1004,1631004,Batalha,0,65.468,116.807,182.275
1009,1631009,Leiria,21.208,0.295,1190.569,1212.072
1010,1631010,Marinha Grande,0.719,0,35.024,35.743
1015,1631015,Pombal,1.224,0.225,524.023,525.472
1016,1631016,Porto de Mós,0,0.002,5.941,5.943
1002,1641002,Alvaiázere,0,0,171.932,171.932
1003,1641003,Ansião,0,0,278.187,278.187
601,1640601,Arganil,6.26,0,71.01,77.27
