Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,SUM
1601,1111601,Arcos de Valdevez,524.452,441.256,0,192.05,1157.758
1602,1111602,Caminha,15.952,0.12,1.086,71.336,88.494
1603,1111603,Melgaço,179.84,61.726,0.578,68.76,310.904
1604,1111604,Monção,184.725,176.092,0.718,89.569,451.104
1605,1111605,Paredes de Coura,101.727,236.67,0.466,102.346,441.209
1606,1111606,Ponte da Barca,159.583,134.515,0.711,121.309,416.118
1607,1111607,Ponte de Lima,151.019,468.107,0.677,326.015,945.818
1608,1111608,Valença,39.268,86.877,0.532,41.633,168.31
1609,1111609,Viana do Castelo,33.499,67.172,1.203,101.006,202.88
1610,1111610,Vila Nova de Cerveira,22.236,47.116,1.138,40.076,110.566
301,1120301,Amares,69.65,43.219,0,165.086,277.955
302,1120302,Barcelos,143.503,9.094,2.613,741.477,896.687
303,1120303,Braga,109.646,226.633,2.753,186.499,525.531
306,1120306,Esposende,17.196,22.526,0.622,94.453,134.797
310,1120310,Terras de Bouro,165.745,189.59,0.224,59.244,414.803
313,1120313,Vila Verde,232.179,417.554,0.091,149.331,799.155
307,1130307,Fafe,230.038,553.525,0.992,179.692,964.247
308,1130308,Guimarães,127.685,282.477,6.301,293.295,709.758
309,1130309,Póvoa de Lanhoso,115.345,275.791,0.066,87.461,478.663
1314,1131314,Santo Tirso,38.909,68.038,10.629,119.08,236.656
1318,1131318,Trofa,15.845,1.948,0,99.637,117.43
311,1130311,Vieira do Minho,236.519,255.671,0.018,95.04,587.248
312,1130312,Vila Nova de Famalicão,79.877,4.289,8.691,302.498,395.355
314,1130314,Vizela,9.566,57.529,0,21.673,88.768
107,1140107,Espinho,0.044,0.292,0.196,0.334,0.866
1304,1141304,Gondomar,29.562,111.257,2.919,57.331,201.069
1306,1141306,Maia,8.253,3.643,0.99,34.113,46.999
1308,1141308,Matosinhos,8.78,2.536,0.587,37.259,49.162
1312,1141312,Porto,0,0,0,0,0
1313,1141313,Póvoa de Varzim,20.779,24.451,0,131.806,177.036
1315,1141315,Valongo,8.103,3.303,4.148,31.189,46.743
1316,1141316,Vila do Conde,40.821,1.689,0.007,232.106,274.623
1317,1141317,Vila Nova de Gaia,14.59,55.733,11.949,38.165,120.437
1301,1151301,Amarante,143.204,800.222,1.458,226.294,1171.178
1302,1151302,Baião,113.058,542.397,0,92.16,747.615
304,1150304,Cabeceiras de Basto,264.738,434.594,0,87.839,787.171
106,1150106,Castelo de Paiva,55.838,191.883,0,58.599,306.32
305,1150305,Celorico de Basto,202.118,534.856,0.355,169.547,906.876
1804,1151804,Cinfães,337.185,519.536,0,92.645,949.366
1303,1151303,Felgueiras,71.416,298.638,0.576,164.295,534.925
1305,1151305,Lousada,40.743,136.63,0.19,109.931,287.494
1307,1151307,Marco de Canaveses,137.714,537.166,2.659,94.404,771.943
1705,1151705,Mondim de Basto,138.077,367.4,0,40.914,546.391
1309,1151309,Paços de Ferreira,12.291,42.402,0.746,39.088,94.527
1310,1151310,Paredes,40.23,138.029,0,99.585,277.844
1311,1151311,Penafiel,70.422,296.422,2.399,136.912,506.155
1813,1151813,Resende,110.553,142.419,0.353,90.933,344.258
1709,1151709,Ribeira de Pena,197.207,429.17,0.007,83.172,709.556
104,1160104,Arouca,220.775,206.421,0,317.419,744.615
113,1160113,Oliveira de Azeméis,60.847,3.761,0.342,335.75,400.7
