"Muni_ID","ID","Muni","lemon","orange","other_citrus","tangerine","total_citrus"
1601,"1111601","Arcos de Valdevez",16,22.58,0,8.65,47.23
1602,"1111602","Caminha",0,11.29,0,0,11.29
1603,"1111603","Melgaço",0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0
1606,"1111606","Ponte da Barca",0,124.21,0,0,124.21
1607,"1111607","Ponte de Lima",47.99,248.42,0,51.91,348.32
1608,"1111608","Valença",31.99,0,0,0,31.99
1609,"1111609","Viana do Castelo",16,101.63,0,17.3,134.93
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0
301,"1120301","Amares",143.97,858.17,0,86.51,1088.65
302,"1120302","Barcelos",47.99,169.38,0,34.61,251.98
303,"1120303","Braga",31.99,135.5,0,17.3,184.79
306,"1120306","Esposende",0,0,0,0,0
310,"1120310","Terras de Bouro",16,22.58,0,17.3,55.88
313,"1120313","Vila Verde",63.99,169.38,0,17.3,250.67
307,"1130307","Fafe",16,11.29,0,0,27.29
308,"1130308","Guimarães",47.99,90.33,0,8.65,146.97
309,"1130309","Póvoa de Lanhoso",16,67.75,0,8.65,92.4
1314,"1131314","Santo Tirso",16,158.08,0,25.95,200.03
1318,"1131318","Trofa",16,22.58,0,0,38.58
311,"1130311","Vieira do Minho",63.99,45.17,0,8.65,117.81
312,"1130312","Vila Nova de Famalicão",16,79.04,0,8.65,103.69
314,"1130314","Vizela",16,22.58,0,8.65,47.23
107,"1140107","Espinho",0,0,0,0,0
1304,"1141304","Gondomar",31.99,22.58,0,8.65,63.22
1306,"1141306","Maia",0,22.58,0,0,22.58
1308,"1141308","Matosinhos",16,11.29,0,8.65,35.94
1312,"1141312","Porto",0,0,0,0,0
1313,"1141313","Póvoa de Varzim",16,0,0,0,16
1315,"1141315","Valongo",0,11.29,0,0,11.29
1316,"1141316","Vila do Conde",223.95,22.58,0,0,246.53
1317,"1141317","Vila Nova de Gaia",16,33.88,0,8.65,58.53
1301,"1151301","Amarante",0,79.04,0,17.3,96.34
1302,"1151302","Baião",63.99,271,0,25.95,360.94
304,"1150304","Cabeceiras de Basto",0,11.29,0,0,11.29
106,"1150106","Castelo de Paiva",0,22.58,0,8.65,31.23
305,"1150305","Celorico de Basto",47.99,22.58,0,0,70.57
1804,"1151804","Cinfães",31.99,169.38,0,34.61,235.98
1303,"1151303","Felgueiras",0,33.88,0,0,33.88
1305,"1151305","Lousada",0,22.58,0,8.65,31.23
1307,"1151307","Marco de Canaveses",31.99,214.54,0,8.65,255.18
1705,"1151705","Mondim de Basto",0,0,0,0,0
1309,"1151309","Paços de Ferreira",0,11.29,0,0,11.29
1310,"1151310","Paredes",0,22.58,0,8.65,31.23
1311,"1151311","Penafiel",31.99,79.04,0,17.3,128.33
1813,"1151813","Resende",0,33.88,0,17.3,51.18
1709,"1151709","Ribeira de Pena",0,0,0,0,0
104,"1160104","Arouca",0,11.29,0,0,11.29
113,"1160113","Oliveira de Azeméis",16,11.29,0,8.65,35.94
109,"1160109","Santa Maria da Feira",31.99,0,0,0,31.99
116,"1160116","São João da Madeira",0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,0,0
1701,"1171701","Alijó",0,173.38,0,0,173.38
1801,"1171801","Armamar",0,100.67,0,0,100.67
403,"1170403","Carrazeda de Ansiães",6.03,268.46,0,16.86,291.35
404,"1170404","Freixo de Espada à Cinta",0,643.18,0,0,643.18
1805,"1171805","Lamego",0,50.34,0,0,50.34
1704,"1171704","Mesão Frio",16,22.58,0,0,38.58
1807,"1171807","Moimenta da Beira",0,0,0,0,0
1812,"1171812","Penedono",0,0,0,0,0
1708,"1171708","Peso da Régua",0,33.56,0,0,33.56
1710,"1171710","Sabrosa",0,39.15,0,0,39.15
1711,"1171711","Santa Marta de Penaguião",0,11.19,0,0,11.19
1815,"1171815","São João da Pesqueira",0,111.86,0,0,111.86
1818,"1171818","Sernancelhe",6.03,0,0,0,6.03
1819,"1171819","Tabuaço",0,61.52,0,0,61.52
1820,"1171820","Tarouca",0,0,0,0,0
409,"1170409","Torre de Moncorvo",0,408.28,0,16.86,425.14
410,"1170410","Vila Flor",6.03,324.38,0,67.43,397.84
914,"1170914","Vila Nova de Foz Côa",0,117.45,0,16.86,134.31
1714,"1171714","Vila Real",0,16.78,0,0,16.78
401,"1180401","Alfândega da Fé",0,39.15,0,0,39.15
1702,"1181702","Boticas",0,0,0,0,0
402,"1180402","Bragança",12.07,0,0,0,12.07
1703,"1181703","Chaves",0,0,0,0,0
405,"1180405","Macedo de Cavaleiros",6.03,0,0,0,6.03
406,"1180406","Miranda do Douro",0,0,0,0,0
407,"1180407","Mirandela",36.2,44.74,0,0,80.94
408,"1180408","Mogadouro",0,0,0,0,0
1706,"1181706","Montalegre",0,0,0,0,0
1707,"1181707","Murça",0,0,0,0,0
1712,"1181712","Valpaços",0,5.59,0,0,5.59
1713,"1181713","Vila Pouca de Aguiar",0,0,0,0,0
411,"1180411","Vimioso",0,0,0,0,0
412,"1180412","Vinhais",6.03,0,0,0,6.03
101,"1610101","Águeda",0,82.15,0,9.94,92.09
102,"1610102","Albergaria-a-Velha",0,18.26,0,0,18.26
103,"1610103","Anadia",12.59,82.15,0,0,94.74
