"Muni_ID","ID","Muni","bean","chickpea","other_pulses","total_pulses"
408,"1180408","Mogadouro",141.19,364.65,1495.38,2001.22
1706,"1181706","Montalegre",70.59,0,0,70.59
1707,"1181707","Murça",229.43,0,0,229.43
1712,"1181712","Valpaços",300.03,19.19,54.71,373.93
1713,"1181713","Vila Pouca de Aguiar",229.43,0,0,229.43
411,"1180411","Vimioso",141.19,134.34,346.49,622.02
412,"1180412","Vinhais",35.3,0,36.47,71.77
101,"1610101","Águeda",143.7,0,49.22,192.92
102,"1610102","Albergaria-a-Velha",127.73,0,32.81,160.54
103,"1610103","Anadia",63.87,0,196.89,260.76
105,"1610105","Aveiro",510.93,0,65.63,576.56
108,"1610108","Estarreja",47.9,0,65.63,113.53
110,"1610110","Ílhavo",47.9,0,0,47.9
111,"1610111","Mealhada",63.87,0,16.41,80.28
112,"1610112","Murtosa",15.97,0,0,15.97
114,"1610114","Oliveira do Bairro",95.8,0,32.81,128.61
115,"1610115","Ovar",31.93,0,0,31.93
117,"1610117","Sever do Vouga",127.73,0,0,127.73
118,"1610118","Vagos",319.33,0,98.44,417.77
602,"1620602","Cantanhede",622.7,17.58,328.15,968.43
603,"1620603","Coimbra",79.83,17.58,410.18,507.59
604,"1620604","Condeixa-a-Nova",255.47,17.58,246.11,519.16
605,"1620605","Figueira da Foz",319.33,0,246.11,565.44
608,"1620608","Mira",143.7,0,16.41,160.11
610,"1620610","Montemor-o-Velho",399.17,0,229.7,628.87
613,"1620613","Penacova",255.47,17.58,131.26,404.31
615,"1620615","Soure",239.5,17.58,311.74,568.82
1004,"1631004","Batalha",95.8,17.58,114.85,228.23
1009,"1631009","Leiria",718.5,17.58,443,1179.08
1010,"1631010","Marinha Grande",15.97,0,16.41,32.38
1015,"1631015","Pombal",878.16,175.81,1164.92,2218.89
1016,"1631016","Porto de Mós",143.7,17.58,147.67,308.95
1002,"1641002","Alvaiázere",63.87,17.58,180.48,261.93
1003,"1641003","Ansião",111.77,52.74,656.29,820.8
601,"1640601","Arganil",223.53,0,0,223.53
1007,"1641007","Castanheira de Pêra",15.97,0,0,15.97
1008,"1641008","Figueiró dos Vinhos",47.9,0,0,47.9
606,"1640606","Góis",31.93,0,32.81,64.74
607,"1640607","Lousã",79.83,0,82.04,161.87
609,"1640609","Miranda do Corvo",63.87,0,98.44,162.31
611,"1640611","Oliveira do Hospital",319.33,35.16,32.81,387.3
612,"1640612","Pampilhosa da Serra",0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0
614,"1640614","Penela",111.77,0,114.85,226.62
616,"1640616","Tábua",367.23,52.74,246.11,666.08
617,"1640617","Vila Nova de Poiares",63.87,0,32.81,96.68
901,"1650901","Aguiar da Beira",734.46,35.16,229.7,999.32
1802,"1651802","Carregal do Sal",191.6,17.58,32.81,241.99
1803,"1651803","Castro Daire",989.93,0,16.41,1006.34
1806,"1651806","Mangualde",606.73,175.81,65.63,848.17
1808,"1651808","Mortágua",207.57,0,32.81,240.38
1809,"1651809","Nelas",303.37,52.74,65.63,421.74
1810,"1651810","Oliveira de Frades",718.5,0,0,718.5
1811,"1651811","Penalva do Castelo",494.96,105.49,65.63,666.08
1814,"1651814","Santa Comba Dão",271.43,17.58,131.26,420.27
1816,"1651816","São Pedro do Sul",1277.33,17.58,164.07,1458.98
1817,"1651817","Sátão",718.5,105.49,196.89,1020.88
1821,"1651821","Tondela",1277.33,35.16,213.29,1525.78
1822,"1651822","Vila Nova de Paiva",111.77,0,0,111.77
1823,"1651823","Viseu",2299.19,193.39,328.15,2820.73
1824,"1651824","Vouzela",973.96,17.58,32.81,1024.35
1413,"1661413","Mação",9.91,0,0,9.91
506,"1660506","Oleiros",9.91,0,0,9.91
508,"1660508","Proença-a-Nova",0,0,10.32,10.32
509,"1660509","Sertã",9.91,11.77,10.32,32
510,"1660510","Vila de Rei",0,0,10.32,10.32
905,"1670905","Fornos de Algodres",594.34,94.13,10.32,698.79
906,"1670906","Gouveia",158.49,11.77,30.96,201.22
912,"1670912","Seia",188.21,11.77,20.64,220.62
902,"1680902","Almeida",0,0,0,0
903,"1680903","Celorico da Beira",49.53,11.77,20.64,81.94
904,"1680904","Figueira de Castelo Rodrigo",19.81,11.77,20.64,52.22
907,"1680907","Guarda",316.98,129.43,30.96,477.37
908,"1680908","Manteigas",0,0,0,0
909,"1680909","Mêda",19.81,23.53,41.28,84.62
910,"1680910","Pinhel",79.25,117.66,72.24,269.15
911,"1680911","Sabugal",89.15,47.07,10.32,146.54
913,"1680913","Trancoso",59.43,35.3,51.6,146.33
502,"1690502","Castelo Branco",1040.1,11.77,30.96,1082.83
505,"1690505","Idanha-a-Nova",416.04,0,1599.51,2015.55
507,"1690507","Penamacor",217.93,11.77,0,229.7
511,"1690511","Vila Velha de Ródão",19.81,11.77,0,31.58
501,"16A0501","Belmonte",59.43,0,0,59.43
503,"16A0503","Covilhã",307.08,35.3,30.96,373.34
504,"16A0504","Fundão",425.95,35.3,10.32,471.57
1001,"16B1001","Alcobaça",708.48,30.19,695.6,1434.27
1101,"16B1101","Alenquer",122.15,905.81,107.02,1134.98
1102,"16B1102","Arruda dos Vinhos",73.29,301.94,107.02,482.25
1005,"16B1005","Bombarral",122.15,0,53.51,175.66
1104,"16B1104","Cadaval",48.86,30.19,133.77,212.82
1006,"16B1006","Caldas da Rainha",488.61,0,240.79,729.4
1108,"16B1108","Lourinhã",586.33,0,1177.18,1763.51
1011,"16B1011","Nazaré",171.01,0,0,171.01
1012,"16B1012","Óbidos",219.87,0,187.28,407.15
1014,"16B1014","Peniche",952.79,0,214.03,1166.82
1112,"16B1112","Sobral de Monte Agraço",97.72,0,160.52,258.24
1113,"16B1113","Torres Vedras",684.05,332.13,909.64,1925.82
1401,"16C1401","Abrantes",48.86,0,1417.96,1466.82
1402,"16C1402","Alcanena",0,0,80.26,80.26
1408,"16C1408","Constância",0,0,0,0
1410,"16C1410","Entroncamento",0,0,0,0
1411,"16C1411","Ferreira do Zêzere",0,0,0,0
1421,"16C1421","Ourém",122.15,90.58,401.31,614.04
1417,"16C1417","Sardoal",0,0,0,0
1418,"16C1418","Tomar",24.43,30.19,187.28,241.9
1419,"16C1419","Torres Novas",0,0,80.26,80.26
1420,"16C1420","Vila Nova da Barquinha",0,0,0,0
1115,"1711115","Amadora",0,0,0,0
1105,"1711105","Cascais",0,0,0,0
1106,"1711106","Lisboa",0,0,0,0
1107,"1711107","Loures",0,30.19,294.29,324.48
1109,"1711109","Mafra",1099.37,120.78,989.9,2210.05
1116,"1711116","Odivelas",0,0,0,0
1110,"1711110","Oeiras",0,0,0,0
1111,"1711111","Sintra",97.72,0,160.52,258.24
1114,"1711114","Vila Franca de Xira",73.29,724.65,2060.06,2858
1502,"1721502","Alcochete",0,0,347.8,347.8
1503,"1721503","Almada",73.29,0,187.28,260.57
1504,"1721504","Barreiro",0,0,0,0
1506,"1721506","Moita",0,0,0,0
1507,"1721507","Montijo",24.43,0,107.02,131.45
1508,"1721508","Palmela",24.43,0,428.06,452.49
1510,"1721510","Seixal",0,0,0,0
1511,"1721511","Sesimbra",24.43,30.19,26.75,81.37
1512,"1721512","Setúbal",0,0,0,0
1501,"1811501","Alcácer do Sal",0,11.85,2926.12,2937.97
1505,"1811505","Grândola",50.62,0,2672.78,2723.4
211,"1810211","Odemira",582.17,11.85,4306.85,4900.87
1509,"1811509","Santiago do Cacém",50.62,82.94,2584.11,2717.67
1513,"1811513","Sines",75.93,0,443.35,519.28
1201,"1821201","Alter do Chão",0,260.66,0,260.66
1202,"1821202","Arronches",0,0,0,0
1203,"1821203","Avis",0,11.85,2102.76,2114.61
1204,"1821204","Campo Maior",0,177.72,1456.73,1634.45
1205,"1821205","Castelo de Vide",0,0,0,0
1206,"1821206","Crato",0,0,0,0
1207,"1821207","Elvas",0,71.09,3407.48,3478.57
1208,"1821208","Fronteira",0,0,709.36,709.36
1209,"1821209","Gavião",202.49,0,12.67,215.16
1210,"1821210","Marvão",0,0,0,0
1211,"1821211","Monforte",0,0,76,76
707,"1820707","Mora",0,47.39,1216.05,1263.44
1212,"1821212","Nisa",50.62,0,76,126.62
1213,"1821213","Ponte de Sor",75.93,296.2,798.03,1170.16
1214,"1821214","Portalegre",0,0,0,0
701,"1830701","Alandroal",0,23.7,696.7,720.4
702,"1830702","Arraiolos",25.31,0,696.7,722.01
703,"1830703","Borba",0,0,126.67,126.67
704,"1830704","Estremoz",75.93,414.69,823.37,1313.99
705,"1830705","Évora",25.31,758.28,63.34,846.93
706,"1830706","Montemor-o-Novo",0,0,468.69,468.69
708,"1830708","Mourão",0,0,304.01,304.01
709,"1830709","Portel",0,0,0,0
710,"1830710","Redondo",0,367.29,126.67,493.96
711,"1830711","Reguengos de Monsaraz",0,35.54,354.68,390.22
1215,"1831215","Sousel",0,1883.86,38,1921.86
712,"1830712","Vendas Novas",0,0,38,38
713,"1830713","Viana do Alentejo",0,0,456.02,456.02
714,"1830714","Vila Viçosa",0,0,0,0
201,"1840201","Aljustrel",0,236.96,6726.28,6963.24
202,"1840202","Almodôvar",0,272.51,3356.81,3629.32
203,"1840203","Alvito",0,0,392.68,392.68
204,"1840204","Barrancos",0,0,0,0
205,"1840205","Beja",0,1208.52,14668.62,15877.14
206,"1840206","Castro Verde",0,462.08,1431.39,1893.47
207,"1840207","Cuba",0,0,126.67,126.67
208,"1840208","Ferreira do Alentejo",0,1658.75,7410.31,9069.06
209,"1840209","Mértola",0,0,11172.47,11172.47
210,"1840210","Moura",0,272.51,1241.39,1513.9
212,"1840212","Ourique",0,0,4218.18,4218.18
213,"1840213","Serpa",25.31,319.9,14883.96,15229.17
214,"1840214","Vidigueira",0,0,291.35,291.35
1403,"1851403","Almeirim",0,30.19,0,30.19
1404,"1851404","Alpiarça",0,0,588.59,588.59
1103,"1851103","Azambuja",48.86,0,107.02,155.88
1405,"1851405","Benavente",0,0,0,0
1406,"1851406","Cartaxo",24.43,60.39,0,84.82
1407,"1851407","Chamusca",0,0,0,0
1409,"1851409","Coruche",0,0,294.29,294.29
1412,"1851412","Golegã",0,0,0,0
1414,"1851414","Rio Maior",48.86,30.19,53.51,132.56
1415,"1851415","Salvaterra de Magos",24.43,0,2541.63,2566.06
1416,"1851416","Santarém",24.43,966.2,1016.65,2007.28
801,"1500801","Albufeira",0,0,31.72,31.72
802,"1500802","Alcoutim",0,0,126.89,126.89
803,"1500803","Aljezur",184.23,16.16,111.03,311.42
804,"1500804","Castro Marim",0,0,15.86,15.86
805,"1500805","Faro",0,0,15.86,15.86
806,"1500806","Lagoa",0,0,0,0
807,"1500807","Lagos",0,16.16,47.58,63.74
808,"1500808","Loulé",0,0,0,0
809,"1500809","Monchique",30.71,0,0,30.71
810,"1500810","Olhão",0,0,0,0
811,"1500811","Portimão",0,0,15.86,15.86
812,"1500812","São Brás de Alportel",0,0,0,0
813,"1500813","Silves",15.35,48.48,111.03,174.86
814,"1500814","Tavira",0,0,206.2,206.2
815,"1500815","Vila do Bispo",0,16.16,31.72,47.88
816,"1500816","Vila Real de Santo António",0,16.16,63.45,79.61
