"Muni_ID","ID","Muni","bean","chickpea","other_pulses","extensive_pasture","intensive_pasture","total"
1601,"1111601","Arcos de Valdevez",21.54,0,0,0,4.6,26.14
1602,"1111602","Caminha",0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,2.7,0,2.7
1604,"1111604","Monção",0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,5.4,0,5.4
1606,"1111606","Ponte da Barca",0,0,0,0,0,0
1607,"1111607","Ponte de Lima",0,0,0,10.8,23,33.8
1608,"1111608","Valença",0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,0,0,8.1,36.8,44.9
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,4.6,4.6
301,"1120301","Amares",0,0,0,56.7,32.2,88.9
302,"1120302","Barcelos",64.59,0,0,40.5,73.6,178.69
303,"1120303","Braga",0,0,0,129.6,73.6,203.2
306,"1120306","Esposende",21.57,0,0,0,18.4,39.97
310,"1120310","Terras de Bouro",0,0,0,0,0,0
313,"1120313","Vila Verde",0,0,0,10.8,105.8,116.6
307,"1130307","Fafe",0,0,0,0,0,0
308,"1130308","Guimarães",0,0,0,135,41.4,176.4
309,"1130309","Póvoa de Lanhoso",43.06,0,0,48.6,18.4,110.06
1314,"1131314","Santo Tirso",43,0,0,21.6,96.6,161.2
1318,"1131318","Trofa",21,0,0,27,18.4,66.4
311,"1130311","Vieira do Minho",107.65,0,0,2.7,23,133.35
312,"1130312","Vila Nova de Famalicão",0,0,0,70.2,92,162.2
314,"1130314","Vizela",0,0,0,0,0,0
107,"1140107","Espinho",0,0,0,0,0,0
1304,"1141304","Gondomar",0,0,0,16.2,18.4,34.6
1306,"1141306","Maia",0,0,0,56.7,36.8,93.5
1308,"1141308","Matosinhos",0,0,0,51.3,133.4,184.7
1312,"1141312","Porto",0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",21.5,0,0,5.4,0,26.9
1315,"1141315","Valongo",0,0,0,0,0,0
1316,"1141316","Vila do Conde",0,0,0,18.9,0,18.9
1317,"1141317","Vila Nova de Gaia",129.6,0,0,51.3,4.6,185.5
1301,"1151301","Amarante",0,0,0,0,4.6,4.6
1302,"1151302","Baião",21.54,0,0,37.8,317.4,376.74
304,"1150304","Cabeceiras de Basto",21.53,0,0,8.1,13.8,43.43
106,"1150106","Castelo de Paiva",107.75,0,0,18.9,0,126.65
305,"1150305","Celorico de Basto",64.59,0,0,10.8,0,75.39
1804,"1151804","Cinfães",0,0,0,5.4,0,5.4
1303,"1151303","Felgueiras",0,0,0,8.1,0,8.1
1305,"1151305","Lousada",21.55,0,0,0,0,21.55
1307,"1151307","Marco de Canaveses",86.16,0,0,43.2,13.8,143.16
1705,"1151705","Mondim de Basto",21.54,0,0,2.7,0,24.24
1309,"1151309","Paços de Ferreira",64.65,0,0,5.4,64.4,134.45
1310,"1151310","Paredes",0,0,0,16.2,0,16.2
1311,"1151311","Penafiel",0,0,0,16.2,4.6,20.8
1813,"1151813","Resende",0,0,0,2.7,0,2.7
1709,"1151709","Ribeira de Pena",21.54,0,0,0,0,21.54
104,"1160104","Arouca",0,0,0,5.4,179.4,184.8
113,"1160113","Oliveira de Azeméis",0,0,0,16.2,4.6,20.8
109,"1160109","Santa Maria da Feira",64.65,0,0,32.4,13.8,110.85
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",0,0,0,13.5,0,13.5
1701,"1171701","Alijó",0,0,0,0,0,0
1801,"1171801","Armamar",0,0,0,2.7,0,2.7
403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",0,0,0,2.7,0,2.7
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",33.75,0,0,51.3,0,85.05
1812,"1171812","Penedono",0,0,0,2.7,0,2.7
1708,"1171708","Peso da Régua",33.5,0,0,21.6,0,55.1
1710,"1171710","Sabrosa",0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,2.7,0,2.7
1818,"1171818","Sernancelhe",100.86,0,0,10.8,0,111.66
1819,"1171819","Tabuaço",0,0,0,0,0,0
1820,"1171820","Tarouca",0,0,0,2.7,4.6,7.3
409,"1170409","Torre de Moncorvo",0,0,0,0,0,0
410,"1170410","Vila Flor",0,0,0,78.3,4.6,82.9
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0
1714,"1171714","Vila Real",67.32,0,0,18.9,0,86.22
401,"1180401","Alfândega da Fé",0,0,0,99.9,23,122.9
1702,"1181702","Boticas",0,0,0,0,0,0
402,"1180402","Bragança",0,0,0,351,36.8,387.8
1703,"1181703","Chaves",33.65,0,0,102.6,9.2,145.45
405,"1180405","Macedo de Cavaleiros",0,0,0,342.9,18.4,361.3
406,"1180406","Miranda do Douro",0,0,0,54,0,54
407,"1180407","Mirandela",0,0,0,116.1,0,116.1
408,"1180408","Mogadouro",0,0,0,5.4,9.2,14.6
1706,"1181706","Montalegre",0,0,0,0,0,0
1707,"1181707","Murça",0,0,0,0,0,0
1712,"1181712","Valpaços",0,0,0,0,0,0
1713,"1181713","Vila Pouca de Aguiar",0,0,0,221.4,32.2,253.6
411,"1180411","Vimioso",0,0,0,0,0,0
412,"1180412","Vinhais",0,0,0,99.9,0,99.9
101,"1610101","Águeda",30.44,0,0,27,0,57.44
102,"1610102","Albergaria-a-Velha",0,0,0,18.9,0,18.9
103,"1610103","Anadia",91.5,0,0,24.3,0,115.8
105,"1610105","Aveiro",457.05,0,0,18.9,13.8,489.75
108,"1610108","Estarreja",30.33,0,0,202.5,9.2,242.03
110,"1610110","Ílhavo",30.33,0,0,8.1,0,38.43
111,"1610111","Mealhada",30.5,0,0,8.1,0,38.6
112,"1610112","Murtosa",30,0,0,24.3,4.6,58.9
114,"1610114","Oliveira do Bairro",91.5,0,0,13.5,4.6,109.6
115,"1610115","Ovar",0,0,0,24.3,27.6,51.9
117,"1610117","Sever do Vouga",0,0,0,5.4,4.6,10
118,"1610118","Vagos",182.7,0,0,10.8,0,193.5
602,"1620602","Cantanhede",791.44,72,0,67.5,9.2,940.14
603,"1620603","Coimbra",0,0,0,105.3,23,128.3
604,"1620604","Condeixa-a-Nova",60.88,0,0,67.5,4.6,132.98
605,"1620605","Figueira da Foz",213.15,0,0,45.9,13.8,272.85
608,"1620608","Mira",152.2,0,0,2.7,0,154.9
610,"1620610","Montemor-o-Velho",121.76,0,0,564.3,50.6,736.66
613,"1620613","Penacova",60.88,0,0,8.1,0,68.98
615,"1620615","Soure",0,0,0,48.6,4.6,53.2
1004,"1631004","Batalha",30.5,0,0,2.7,0,33.2
1009,"1631009","Leiria",182.64,0,0,151.2,50.6,384.44
1010,"1631010","Marinha Grande",30,0,0,16.2,0,46.2
1015,"1631015","Pombal",334.84,0,0,156.6,64.4,555.84
1016,"1631016","Porto de Mós",0,0,0,24.3,0,24.3
1002,"1641002","Alvaiázere",0,0,0,51.3,0,51.3
1003,"1641003","Ansião",30.43,0,0,54,18.4,102.83
601,"1640601","Arganil",152.5,0,0,91.8,59.8,304.1
1007,"1641007","Castanheira de Pêra",0,0,0,2.7,0,2.7
1008,"1641008","Figueiró dos Vinhos",30.33,0,0,18.9,0,49.23
606,"1640606","Góis",0,0,0,2.7,0,2.7
607,"1640607","Lousã",30.4,0,0,8.1,0,38.5
609,"1640609","Miranda do Corvo",30.5,0,0,16.2,4.6,51.3
611,"1640611","Oliveira do Hospital",91.35,0,0,461.7,478.4,1031.45
612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,8.1,0,8.1
614,"1640614","Penela",30.43,0,0,81,50.6,162.03
616,"1640616","Tábua",304.8,0,0,102.6,234.6,642
617,"1640617","Vila Nova de Poiares",61,0,0,2.7,0,63.7
901,"1650901","Aguiar da Beira",912.9,0,243.87,8.1,0,1164.87
1802,"1651802","Carregal do Sal",30.5,0,0,27,64.4,121.9
1803,"1651803","Castro Daire",182.7,0,0,10.8,0,193.5
1806,"1651806","Mangualde",578.55,508.2,0,380.7,510.6,1978.05
1808,"1651808","Mortágua",30.46,0,0,40.5,4.6,75.56
1809,"1651809","Nelas",152.35,0,0,108,0,260.35
