"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","total"
1601,"1111601","Arcos de Valdevez",133.88,0,101.91,0,0,235.79
1602,"1111602","Caminha",15.99,0,0,0,0,15.99
1603,"1111603","Melgaço",0,0,0,0,0,0
1604,"1111604","Monção",0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,65.94,260.28,0,0,326.22
1606,"1111606","Ponte da Barca",540.36,0,0,0,0,540.36
1607,"1111607","Ponte de Lima",17554.59,222.63,148.88,0,0,17926.1
1608,"1111608","Valença",0,0,44.03,0,0,44.03
1609,"1111609","Viana do Castelo",5494.5,110.68,0,0,55.67,5660.85
1610,"1111610","Vila Nova de Cerveira",4712.35,0,0,0,0,4712.35
301,"1120301","Amares",12208.89,329.82,220.8,0,0,12759.51
302,"1120302","Barcelos",888998.48,1561.84,0,0,447.06,891007.38
303,"1120303","Braga",90060.86,1743.82,0,0,939.68,92744.36
306,"1120306","Esposende",90026.64,0,0,0,0,90026.64
310,"1120310","Terras de Bouro",0,0,0,0,0,0
313,"1120313","Vila Verde",32790.42,1231.49,853.2,0,0,34875.11
307,"1130307","Fafe",643.68,0,213.99,0,0,857.67
308,"1130308","Guimarães",71745.57,936.54,1043.8,0,313.29,74039.2
309,"1130309","Póvoa de Lanhoso",11138.85,601.5,804.32,0,199.88,12744.55
1314,"1131314","Santo Tirso",22446,1247,249.98,0,0,23942.98
1318,"1131318","Trofa",119927.12,0,0,0,0,119927.12
311,"1130311","Vieira do Minho",1155.36,39.67,0,0,0,1195.03
312,"1130312","Vila Nova de Famalicão",299156.51,767,192.77,0,575.22,300691.5
314,"1130314","Vizela",2130.24,0,836.55,0,0,2966.79
107,"1140107","Espinho",0,18554.2,0,0,0,18554.2
1304,"1141304","Gondomar",7580.3,433.88,650.94,0,0,8665.12
1306,"1141306","Maia",154156.56,184.54,0,0,0,154341.1
1308,"1141308","Matosinhos",143520,389.24,0,0,0,143909.24
1312,"1141312","Porto",478.4,0,0,0,0,478.4
1313,"1141313","Póvoa de Varzim",243579.84,0,0,0,0,243579.84
1315,"1141315","Valongo",27804.7,756.57,253.07,0,0,28814.34
1316,"1141316","Vila do Conde",554564.88,0,0,0,268.31,554833.19
1317,"1141317","Vila Nova de Gaia",3545.88,91.07,455.15,0,0,4092.1
1301,"1151301","Amarante",551.88,0,553.23,0,0,1105.11
1302,"1151302","Baião",298.5,0,568.86,0,0,867.36
304,"1150304","Cabeceiras de Basto",1388.7,185.4,89.48,0,0,1663.58
106,"1150106","Castelo de Paiva",3865.5,0,465.24,0,0,4330.74
305,"1150305","Celorico de Basto",3136.4,78.18,78.15,0,234.9,3527.63
1804,"1151804","Cinfães",156.12,156.06,365.75,0,0,677.93
1303,"1151303","Felgueiras",1911.36,0,1906.88,0,0,3818.24
1305,"1151305","Lousada",22576.5,86.45,0,0,0,22662.95
1307,"1151307","Marco de Canaveses",504.63,168.57,0,0,0,673.2
1705,"1151705","Mondim de Basto",39.26,0,19.63,0,0,58.89
1309,"1151309","Paços de Ferreira",15505.77,1209.56,109.87,0,992.43,17817.63
1310,"1151310","Paredes",9832.56,93,1022.01,0,0,10947.57
1311,"1151311","Penafiel",16522.44,1001.36,376.02,0,124.85,18024.67
1813,"1151813","Resende",786.6,132.72,746.47,0,0,1665.79
1709,"1151709","Ribeira de Pena",1135.7,83.07,55.04,0,0,1273.81
104,"1160104","Arouca",32119.5,91.47,1550.57,0,0,33761.54
113,"1160113","Oliveira de Azeméis",173776.05,0,222.82,0,0,173998.87
109,"1160109","Santa Maria da Feira",20380.95,0,131.6,0,130.79,20643.34
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",801.06,616.4,246.92,0,0,1664.38
1701,"1171701","Alijó",0,0,0,0,0,0
1801,"1171801","Armamar",532.55,0,213.24,0,0,745.79
403,"1170403","Carrazeda de Ansiães",66.67,0,0,0,0,66.67
404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0
1805,"1171805","Lamego",52.14,52.02,0,0,0,104.16
1704,"1171704","Mesão Frio",0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",12787.58,0,93.89,0,0,12881.47
1812,"1171812","Penedono",1387.1,0,0,161.19,55.33,1603.62
1708,"1171708","Peso da Régua",305.74,0,0,0,0,305.74
1710,"1171710","Sabrosa",0,0,0,0,0,0
1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",21.02,83.64,0,20.78,21.07,146.51
1818,"1171818","Sernancelhe",2451,0,0,64.72,64.8,2580.52
1819,"1171819","Tabuaço",90.45,0,271.77,89.03,0,451.25
1820,"1171820","Tarouca",5694.78,0,950.32,133.99,0,6779.09
409,"1170409","Torre de Moncorvo",279.6,0,46.44,0,0,326.04
410,"1170410","Vila Flor",46.55,0,46.96,0,94.04,187.55
914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0
1714,"1171714","Vila Real",428.89,192.6,550.34,0,0,1171.83
401,"1180401","Alfândega da Fé",791.14,54.31,0,0,116.98,962.43
1702,"1181702","Boticas",0,0,0,0,0,0
402,"1180402","Bragança",6835.34,0,252.8,1021.8,2354.74,10464.68
1703,"1181703","Chaves",10093.38,0,656.88,162.32,160.76,11073.34
405,"1180405","Macedo de Cavaleiros",1212.77,62.18,192.9,455.21,260.4,2183.46
406,"1180406","Miranda do Douro",1418.64,0,0,59.53,112.2,1590.37
407,"1180407","Mirandela",289.92,0,504.42,72.52,428.46,1295.32
408,"1180408","Mogadouro",1712.4,0,0,0,142.46,1854.86
1706,"1181706","Montalegre",1196.64,0,30.52,17.37,0,1244.53
1707,"1181707","Murça",0,0,0,0,0,0
1712,"1181712","Valpaços",1318.5,0,441.36,73.28,656.82,2489.96
1713,"1181713","Vila Pouca de Aguiar",8984.91,256.32,651.9,43.34,43.48,9979.95
411,"1180411","Vimioso",773.67,0,0,0,462.7,1236.37
412,"1180412","Vinhais",849.66,0,0,121.56,0,971.22
101,"1610101","Águeda",14398.02,368.94,1290.94,737.96,0,16795.86
102,"1610102","Albergaria-a-Velha",33013.6,0,143.03,285.58,0,33442.21
103,"1610103","Anadia",3199.03,0,337.2,852.5,335.04,4723.77
105,"1610105","Aveiro",14341.13,2108.16,262.94,793.98,1206.27,18712.48
108,"1610108","Estarreja",154889.76,0,0,0,4085.52,158975.28
