"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","olive_grove","vineyard","total"
1601,"1111601","Arcos de Valdevez",0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35
1602,"1111602","Caminha",0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
1603,"1111603","Melgaço",0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54
1606,"1111606","Ponte da Barca",0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
1607,"1111607","Ponte de Lima",0,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85
1610,"1111610","Vila Nova de Cerveira",0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62
301,"1120301","Amares",0,22.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68
302,"1120302","Barcelos",0,106.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.11
303,"1120303","Braga",0,112.32,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.56
306,"1120306","Esposende",0,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44
310,"1120310","Terras de Bouro",0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62
313,"1120313","Vila Verde",0,57.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.24
307,"1130307","Fafe",0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
308,"1130308","Guimarães",0,62.64,0.12,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.54
309,"1130309","Póvoa de Lanhoso",0,11.61,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73
1314,"1131314","Santo Tirso",0,35.37,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.49
1318,"1131318","Trofa",0,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56
311,"1130311","Vieira do Minho",0,12.96,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04
312,"1130312","Vila Nova de Famalicão",0,115.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.29
314,"1130314","Vizela",0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67
107,"1140107","Espinho",0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35
1304,"1141304","Gondomar",0,17.55,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79
1306,"1141306","Maia",0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2
1308,"1141308","Matosinhos",0,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93
1312,"1141312","Porto",0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12
1313,"1141313","Póvoa de Varzim",0,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44
1315,"1141315","Valongo",0,23.22,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.36
1316,"1141316","Vila do Conde",0,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56
1317,"1141317","Vila Nova de Gaia",0,39.96,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1
1301,"1151301","Amarante",0,2.97,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
1302,"1151302","Baião",0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
304,"1150304","Cabeceiras de Basto",0,7.56,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69
106,"1150106","Castelo de Paiva",0,18.09,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79
305,"1150305","Celorico de Basto",0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
1804,"1151804","Cinfães",0,6.48,0.08,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69
1303,"1151303","Felgueiras",0,11.88,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2
1305,"1151305","Lousada",0,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47
1307,"1151307","Marco de Canaveses",0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8
1705,"1151705","Mondim de Basto",0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
1309,"1151309","Paços de Ferreira",0,20.25,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.53
1310,"1151310","Paredes",0,32.94,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.01
1311,"1151311","Penafiel",0,18.63,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75
1813,"1151813","Resende",0,7.29,0.28,0,0.13,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69
1709,"1151709","Ribeira de Pena",0,9.18,0.16,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66
104,"1160104","Arouca",0,24.57,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99
113,"1160113","Oliveira de Azeméis",0,26.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.46
