Muni_ID,ID,Muni,tot_hort_ext
1601,1111601,Arcos de Valdevez,1
1602,1111602,Caminha,0
1603,1111603,Melgaço,0
1604,1111604,Monção,1
1605,1111605,Paredes de Coura,0
1606,1111606,Ponte da Barca,0
1607,1111607,Ponte de Lima,1
1608,1111608,Valença,0
1609,1111609,Viana do Castelo,8
1610,1111610,Vila Nova de Cerveira,0
301,1120301,Amares,18
302,1120302,Barcelos,45
303,1120303,Braga,32
306,1120306,Esposende,73
310,1120310,Terras de Bouro,0
313,1120313,Vila Verde,21
307,1130307,Fafe,1
308,1130308,Guimarães,40
309,1130309,Póvoa de Lanhoso,0
1314,1131314,Santo Tirso,11
1318,1131318,Trofa,15
311,1130311,Vieira do Minho,1
312,1130312,Vila Nova de Famalicão,20
314,1130314,Vizela,2
107,1140107,Espinho,1
1304,1141304,Gondomar,27
1306,1141306,Maia,44
1308,1141308,Matosinhos,7
1312,1141312,Porto,0
1313,1141313,Póvoa de Varzim,141
1315,1141315,Valongo,1
1316,1141316,Vila do Conde,17
1317,1141317,Vila Nova de Gaia,29
1301,1151301,Amarante,10
1302,1151302,Baião,6
304,1150304,Cabeceiras de Basto,0
106,1150106,Castelo de Paiva,0
305,1150305,Celorico de Basto,0
1804,1151804,Cinfães,0
1303,1151303,Felgueiras,14
1305,1151305,Lousada,3
1307,1151307,Marco de Canaveses,15
1705,1151705,Mondim de Basto,1
1309,1151309,Paços de Ferreira,2
1310,1151310,Paredes,6
1311,1151311,Penafiel,7
1813,1151813,Resende,0
1709,1151709,Ribeira de Pena,0
104,1160104,Arouca,0
113,1160113,Oliveira de Azeméis,1
109,1160109,Santa Maria da Feira,1
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,0
1701,1171701,Alijó,1
1801,1171801,Armamar,0
403,1170403,Carrazeda de Ansiães,0
404,1170404,Freixo de Espada à Cinta,0
1805,1171805,Lamego,11
1704,1171704,Mesão Frio,0
1807,1171807,Moimenta da Beira,11
1812,1171812,Penedono,0
1708,1171708,Peso da Régua,1
1710,1171710,Sabrosa,3
1711,1171711,Santa Marta de Penaguião,0
1815,1171815,São João da Pesqueira,0
1818,1171818,Sernancelhe,44
1819,1171819,Tabuaço,0
1820,1171820,Tarouca,0
409,1170409,Torre de Moncorvo,43
410,1170410,Vila Flor,6
914,1170914,Vila Nova de Foz Côa,0
1714,1171714,Vila Real,11
401,1180401,Alfândega da Fé,2
1702,1181702,Boticas,0
402,1180402,Bragança,18
1703,1181703,Chaves,5
405,1180405,Macedo de Cavaleiros,7
406,1180406,Miranda do Douro,0
407,1180407,Mirandela,22
408,1180408,Mogadouro,1
1706,1181706,Montalegre,0
1707,1181707,Murça,0
1712,1181712,Valpaços,4
1713,1181713,Vila Pouca de Aguiar,10
411,1180411,Vimioso,6
412,1180412,Vinhais,28
101,1610101,Águeda,2
102,1610102,Albergaria-a-Velha,4
103,1610103,Anadia,43
105,1610105,Aveiro,66
108,1610108,Estarreja,1
110,1610110,Ílhavo,25
111,1610111,Mealhada,11
112,1610112,Murtosa,24
114,1610114,Oliveira do Bairro,45
115,1610115,Ovar,13
117,1610117,Sever do Vouga,4
118,1610118,Vagos,134
602,1620602,Cantanhede,184
603,1620603,Coimbra,89
604,1620604,Condeixa-a-Nova,3
605,1620605,Figueira da Foz,53
608,1620608,Mira,35
610,1620610,Montemor-o-Velho,188
613,1620613,Penacova,1
615,1620615,Soure,59
1004,1631004,Batalha,2
1009,1631009,Leiria,93
1010,1631010,Marinha Grande,9
1015,1631015,Pombal,41
1016,1631016,Porto de Mós,4
1002,1641002,Alvaiázere,2
1003,1641003,Ansião,3
601,1640601,Arganil,0
1007,1641007,Castanheira de Pêra,0
1008,1641008,Figueiró dos Vinhos,0
606,1640606,Góis,1
607,1640607,Lousã,1
609,1640609,Miranda do Corvo,0
611,1640611,Oliveira do Hospital,0
612,1640612,Pampilhosa da Serra,0
1013,1641013,Pedrógão Grande,2
614,1640614,Penela,0
616,1640616,Tábua,2
617,1640617,Vila Nova de Poiares,0
901,1650901,Aguiar da Beira,0
1802,1651802,Carregal do Sal,0
1803,1651803,Castro Daire,5
1806,1651806,Mangualde,1
1808,1651808,Mortágua,7
1809,1651809,Nelas,2
1810,1651810,Oliveira de Frades,0
1811,1651811,Penalva do Castelo,0
1814,1651814,Santa Comba Dão,0
1816,1651816,São Pedro do Sul,2
1817,1651817,Sátão,3
1821,1651821,Tondela,3
1822,1651822,Vila Nova de Paiva,0
1823,1651823,Viseu,1
1824,1651824,Vouzela,0
1413,1661413,Mação,0
506,1660506,Oleiros,0
508,1660508,Proença-a-Nova,0
509,1660509,Sertã,1
510,1660510,Vila de Rei,0
905,1670905,Fornos de Algodres,0
906,1670906,Gouveia,1
912,1670912,Seia,3
902,1680902,Almeida,0
903,1680903,Celorico da Beira,3
904,1680904,Figueira de Castelo Rodrigo,0
907,1680907,Guarda,10
908,1680908,Manteigas,0
909,1680909,Mêda,2
910,1680910,Pinhel,4
911,1680911,Sabugal,1
913,1680913,Trancoso,2
502,1690502,Castelo Branco,14
505,1690505,Idanha-a-Nova,56
507,1690507,Penamacor,7
511,1690511,Vila Velha de Ródão,0
501,16A0501,Belmonte,11
503,16A0503,Covilhã,69
504,16A0504,Fundão,13
1001,16B1001,Alcobaça,163
1101,16B1101,Alenquer,254
1102,16B1102,Arruda dos Vinhos,6
1005,16B1005,Bombarral,11
1104,16B1104,Cadaval,9
1006,16B1006,Caldas da Rainha,142
1108,16B1108,Lourinhã,739
1011,16B1011,Nazaré,143
1012,16B1012,Óbidos,301
1014,16B1014,Peniche,638
1112,16B1112,Sobral de Monte Agraço,63
1113,16B1113,Torres Vedras,599
1401,16C1401,Abrantes,54
1402,16C1402,Alcanena,17
1408,16C1408,Constância,0
1410,16C1410,Entroncamento,13
1411,16C1411,Ferreira do Zêzere,4
1421,16C1421,Ourém,5
1417,16C1417,Sardoal,0
1418,16C1418,Tomar,0
1419,16C1419,Torres Novas,111
1420,16C1420,Vila Nova da Barquinha,72
1115,1711115,Amadora,0
1105,1711105,Cascais,0
1106,1711106,Lisboa,0
1107,1711107,Loures,252
1109,1711109,Mafra,228
1116,1711116,Odivelas,1
1110,1711110,Oeiras,0
1111,1711111,Sintra,182
1114,1711114,Vila Franca de Xira,2430
1502,1721502,Alcochete,47
1503,1721503,Almada,9
1504,1721504,Barreiro,0
1506,1721506,Moita,11
1507,1721507,Montijo,553
1508,1721508,Palmela,411
1510,1721510,Seixal,0
1511,1721511,Sesimbra,5
1512,1721512,Setúbal,12
1501,1811501,Alcácer do Sal,21
1505,1811505,Grândola,47
211,1810211,Odemira,479
1509,1811509,Santiago do Cacém,640
1513,1811513,Sines,76
1201,1821201,Alter do Chão,4
1202,1821202,Arronches,41
1203,1821203,Avis,49
1204,1821204,Campo Maior,441
1205,1821205,Castelo de Vide,1
1206,1821206,Crato,3
1207,1821207,Elvas,1273
1208,1821208,Fronteira,10
1209,1821209,Gavião,2
1210,1821210,Marvão,3
1211,1821211,Monforte,0
707,1820707,Mora,63
1212,1821212,Nisa,0
1213,1821213,Ponte de Sor,139
1214,1821214,Portalegre,5
701,1830701,Alandroal,160
702,1830702,Arraiolos,194
703,1830703,Borba,2
704,1830704,Estremoz,29
705,1830705,Évora,134
